category,distribution,count,columns,col_width,total,sort,scatter,gather
col,random,4096,1,4,660535,660535,0,0
col_ss,random,4096,1,4,614533,614533,0,0
col_branchless,random,4096,1,4,648463,648463,0,0
row_all,random,4096,1,4,615144,567436,47575,133
row_iter,random,4096,1,4,591970,567335,24547,88
row_all_dynamic,random,4096,1,4,688205,678420,9675,110
row_all_branchless,random,4096,1,4,576865,566970,9808,87
col,random,4096,1,4,640363,640363,0,0
col_ss,random,4096,1,4,606223,606223,0,0
col_branchless,random,4096,1,4,652451,652451,0,0
row_all,random,4096,1,4,583108,573336,9685,87
row_iter,random,4096,1,4,580532,570968,9480,84
row_all_dynamic,random,4096,1,4,677493,668013,9395,85
row_all_branchless,random,4096,1,4,566352,556836,9429,87
col,random,4096,1,4,642058,642058,0,0
col_ss,random,4096,1,4,583868,583868,0,0
col_branchless,random,4096,1,4,407030,407030,0,0
row_all,random,4096,1,4,358980,352812,6114,54
row_iter,random,4096,1,4,365654,359533,6042,79
row_all_dynamic,random,4096,1,4,424730,418744,5932,54
row_all_branchless,random,4096,1,4,359718,353704,5961,53
col,random,4096,1,4,401135,401135,0,0
col_ss,random,4096,1,4,375941,375941,0,0
col_branchless,random,4096,1,4,420827,420827,0,0
row_all,random,4096,1,4,363850,357715,6080,55
row_iter,random,4096,1,4,350758,344748,5955,55
row_all_dynamic,random,4096,1,4,431937,425880,6000,57
row_all_branchless,random,4096,1,4,368349,362303,5991,55
col,random,4096,1,4,401309,401309,0,0
col_ss,random,4096,1,4,375605,375605,0,0
col_branchless,random,4096,1,4,404396,404396,0,0
row_all,random,4096,1,4,362155,356141,5972,42
row_iter,random,4096,1,4,360748,354735,5973,40
row_all_dynamic,random,4096,1,4,428652,422671,5937,44
row_all_branchless,random,4096,1,4,356617,350643,5931,43
col,powerlaw,4096,1,4,260186,260186,0,0
col_ss,powerlaw,4096,1,4,232810,232810,0,0
col_branchless,powerlaw,4096,1,4,262272,262272,0,0
row_all,powerlaw,4096,1,4,165156,161076,4054,26
row_iter,powerlaw,4096,1,4,155464,151556,3870,38
row_all_dynamic,powerlaw,4096,1,4,190429,186527,3866,36
row_all_branchless,powerlaw,4096,1,4,161299,157355,3917,27
col,powerlaw,4096,1,4,172197,172197,0,0
col_ss,powerlaw,4096,1,4,155515,155515,0,0
col_branchless,powerlaw,4096,1,4,167332,167332,0,0
row_all,powerlaw,4096,1,4,158740,154768,3944,28
row_iter,powerlaw,4096,1,4,156018,152076,3915,27
row_all_dynamic,powerlaw,4096,1,4,189057,185172,3858,27
row_all_branchless,powerlaw,4096,1,4,160599,156656,3916,27
col,powerlaw,4096,1,4,169627,169627,0,0
col_ss,powerlaw,4096,1,4,153995,153995,0,0
col_branchless,powerlaw,4096,1,4,169501,169501,0,0
row_all,powerlaw,4096,1,4,162148,158195,3900,53
row_iter,powerlaw,4096,1,4,163974,160076,3872,26
row_all_dynamic,powerlaw,4096,1,4,192847,188924,3892,31
row_all_branchless,powerlaw,4096,1,4,155571,151631,3912,28
col,powerlaw,4096,1,4,173160,173160,0,0
col_ss,powerlaw,4096,1,4,156861,156861,0,0
col_branchless,powerlaw,4096,1,4,171427,171427,0,0
row_all,powerlaw,4096,1,4,152764,148797,3923,44
row_iter,powerlaw,4096,1,4,157724,153781,3906,37
row_all_dynamic,powerlaw,4096,1,4,191201,187228,3938,35
row_all_branchless,powerlaw,4096,1,4,161050,157095,3904,51
col,powerlaw,4096,1,4,170820,170820,0,0
col_ss,powerlaw,4096,1,4,155006,155006,0,0
col_branchless,powerlaw,4096,1,4,169034,169034,0,0
row_all,powerlaw,4096,1,4,167901,163938,3928,35
row_iter,powerlaw,4096,1,4,162251,158349,3875,27
row_all_dynamic,powerlaw,4096,1,4,207808,203920,3859,29
row_all_branchless,powerlaw,4096,1,4,134183,130910,3251,22
col,correlated0.1,4096,1,4,165746,165746,0,0
col_ss,correlated0.1,4096,1,4,147715,147715,0,0
col_branchless,correlated0.1,4096,1,4,164325,164325,0,0
row_all,correlated0.1,4096,1,4,147651,144320,3301,30
row_iter,correlated0.1,4096,1,4,153585,150315,3246,24
row_all_dynamic,correlated0.1,4096,1,4,179283,176042,3218,23
row_all_branchless,correlated0.1,4096,1,4,155602,152346,3233,23
col,correlated0.1,4096,1,4,161125,161125,0,0
col_ss,correlated0.1,4096,1,4,148557,148557,0,0
col_branchless,correlated0.1,4096,1,4,167041,167041,0,0
row_all,correlated0.1,4096,1,4,152715,149420,3264,31
row_iter,correlated0.1,4096,1,4,156376,153105,3248,23
row_all_dynamic,correlated0.1,4096,1,4,179447,176209,3214,24
row_all_branchless,correlated0.1,4096,1,4,154095,150840,3220,35
col,correlated0.1,4096,1,4,162886,162886,0,0
col_ss,correlated0.1,4096,1,4,156840,156840,0,0
col_branchless,correlated0.1,4096,1,4,184279,184279,0,0
row_all,correlated0.1,4096,1,4,147165,143844,3299,22
row_iter,correlated0.1,4096,1,4,151333,148100,3215,18
row_all_dynamic,correlated0.1,4096,1,4,173297,170050,3224,23
row_all_branchless,correlated0.1,4096,1,4,152856,149610,3223,23
col,correlated0.1,4096,1,4,170543,170543,0,0
col_ss,correlated0.1,4096,1,4,150760,150760,0,0
col_branchless,correlated0.1,4096,1,4,163993,163993,0,0
row_all,correlated0.1,4096,1,4,153809,150522,3264,23
row_iter,correlated0.1,4096,1,4,149540,146268,3253,19
row_all_dynamic,correlated0.1,4096,1,4,179614,176350,3241,23
row_all_branchless,correlated0.1,4096,1,4,157173,153899,3238,36
col,correlated0.1,4096,1,4,171035,171035,0,0
col_ss,correlated0.1,4096,1,4,153271,153271,0,0
col_branchless,correlated0.1,4096,1,4,168237,168237,0,0
row_all,correlated0.1,4096,1,4,151404,148079,3303,22
row_iter,correlated0.1,4096,1,4,152111,148844,3244,23
row_all_dynamic,correlated0.1,4096,1,4,180043,176761,3259,23
row_all_branchless,correlated0.1,4096,1,4,156618,153341,3254,23
col,correlated0.5,4096,1,4,172876,172876,0,0
col_ss,correlated0.5,4096,1,4,155994,155994,0,0
col_branchless,correlated0.5,4096,1,4,166899,166899,0,0
row_all,correlated0.5,4096,1,4,154384,151116,3246,22
row_iter,correlated0.5,4096,1,4,150761,147486,3253,22
row_all_dynamic,correlated0.5,4096,1,4,181599,178366,3209,24
row_all_branchless,correlated0.5,4096,1,4,151404,148119,3249,36
col,correlated0.5,4096,1,4,163799,163799,0,0
col_ss,correlated0.5,4096,1,4,156748,156748,0,0
col_branchless,correlated0.5,4096,1,4,165436,165436,0,0
row_all,correlated0.5,4096,1,4,154491,151203,3266,22
row_iter,correlated0.5,4096,1,4,149365,146131,3216,18
row_all_dynamic,correlated0.5,4096,1,4,179068,175857,3189,22
row_all_branchless,correlated0.5,4096,1,4,148531,145271,3236,24
col,correlated0.5,4096,1,4,166334,166334,0,0
col_ss,correlated0.5,4096,1,4,145724,145724,0,0
col_branchless,correlated0.5,4096,1,4,166957,166957,0,0
row_all,correlated0.5,4096,1,4,151886,148615,3248,23
row_iter,correlated0.5,4096,1,4,152451,149190,3237,24
row_all_dynamic,correlated0.5,4096,1,4,177818,174595,3200,23
row_all_branchless,correlated0.5,4096,1,4,155645,152388,3234,23
col,correlated0.5,4096,1,4,168080,168080,0,0
col_ss,correlated0.5,4096,1,4,149541,149541,0,0
col_branchless,correlated0.5,4096,1,4,169080,169080,0,0
row_all,correlated0.5,4096,1,4,157723,154418,3284,21
row_iter,correlated0.5,4096,1,4,149839,146605,3212,22
row_all_dynamic,correlated0.5,4096,1,4,183010,179739,3246,25
row_all_branchless,correlated0.5,4096,1,4,155914,152622,3268,24
col,correlated0.5,4096,1,4,159920,159920,0,0
col_ss,correlated0.5,4096,1,4,153838,153838,0,0
col_branchless,correlated0.5,4096,1,4,186624,186624,0,0
row_all,correlated0.5,4096,1,4,159066,155718,3326,22
row_iter,correlated0.5,4096,1,4,153656,150381,3247,28
row_all_dynamic,correlated0.5,4096,1,4,177517,174258,3236,23
row_all_branchless,correlated0.5,4096,1,4,150951,147670,3250,31
col,correlated0.9,4096,1,4,165479,165479,0,0
col_ss,correlated0.9,4096,1,4,147842,147842,0,0
col_branchless,correlated0.9,4096,1,4,161781,161781,0,0
row_all,correlated0.9,4096,1,4,153454,150175,3257,22
row_iter,correlated0.9,4096,1,4,153383,150151,3209,23
row_all_dynamic,correlated0.9,4096,1,4,179566,176333,3211,22
row_all_branchless,correlated0.9,4096,1,4,153935,150686,3231,18
col,correlated0.9,4096,1,4,170936,170936,0,0
col_ss,correlated0.9,4096,1,4,151144,151144,0,0
col_branchless,correlated0.9,4096,1,4,175480,175480,0,0
row_all,correlated0.9,4096,1,4,151806,148547,3238,21
row_iter,correlated0.9,4096,1,4,157015,153731,3262,22
row_all_dynamic,correlated0.9,4096,1,4,181350,178135,3192,23
row_all_branchless,correlated0.9,4096,1,4,147667,144423,3215,29
col,correlated0.9,4096,1,4,169150,169150,0,0
col_ss,correlated0.9,4096,1,4,151380,151380,0,0
col_branchless,correlated0.9,4096,1,4,165258,165258,0,0
row_all,correlated0.9,4096,1,4,145389,142125,3234,30
row_iter,correlated0.9,4096,1,4,157468,154225,3221,22
row_all_dynamic,correlated0.9,4096,1,4,180760,177527,3210,23
row_all_branchless,correlated0.9,4096,1,4,156230,152984,3218,28
col,correlated0.9,4096,1,4,164711,164711,0,0
col_ss,correlated0.9,4096,1,4,148768,148768,0,0
col_branchless,correlated0.9,4096,1,4,167838,167838,0,0
row_all,correlated0.9,4096,1,4,153176,149907,3240,29
row_iter,correlated0.9,4096,1,4,155002,151754,3230,18
row_all_dynamic,correlated0.9,4096,1,4,180829,177573,3233,23
row_all_branchless,correlated0.9,4096,1,4,151640,148343,3268,29
col,correlated0.9,4096,1,4,166106,166106,0,0
col_ss,correlated0.9,4096,1,4,152969,152969,0,0
col_branchless,correlated0.9,4096,1,4,169762,169762,0,0
row_all,correlated0.9,4096,1,4,154173,150917,3234,22
row_iter,correlated0.9,4096,1,4,153221,149952,3246,23
row_all_dynamic,correlated0.9,4096,1,4,175225,171989,3212,24
row_all_branchless,correlated0.9,4096,1,4,155947,152685,3239,23
col,random,4096,2,4,234540,234540,0,0
col_ss,random,4096,2,4,237658,237658,0,0
col_branchless,random,4096,2,4,438216,438216,0,0
row_all,random,4096,2,4,229966,208365,21579,22
row_iter,random,4096,2,4,191380,186512,4850,18
row_all_dynamic,random,4096,2,4,379173,374255,4894,24
row_all_branchless,random,4096,2,4,301532,296689,4813,30
col,random,4096,2,4,252095,252095,0,0
col_ss,random,4096,2,4,231266,231266,0,0
col_branchless,random,4096,2,4,440496,440496,0,0
row_all,random,4096,2,4,209168,204187,4958,23
row_iter,random,4096,2,4,183527,178635,4874,18
row_all_dynamic,random,4096,2,4,383469,378579,4867,23
row_all_branchless,random,4096,2,4,300199,295293,4876,30
col,random,4096,2,4,235709,235709,0,0
col_ss,random,4096,2,4,231340,231340,0,0
col_branchless,random,4096,2,4,440807,440807,0,0
row_all,random,4096,2,4,214433,209461,4950,22
row_iter,random,4096,2,4,196871,191950,4903,18
row_all_dynamic,random,4096,2,4,371805,366884,4899,22
row_all_branchless,random,4096,2,4,299406,294462,4921,23
col,random,4096,2,4,237467,237467,0,0
col_ss,random,4096,2,4,235971,235971,0,0
col_branchless,random,4096,2,4,446057,446057,0,0
row_all,random,4096,2,4,210771,205887,4846,38
row_iter,random,4096,2,4,189168,184302,4847,19
row_all_dynamic,random,4096,2,4,382587,377660,4904,23
row_all_branchless,random,4096,2,4,300251,295354,4875,22
col,random,4096,2,4,241155,241155,0,0
col_ss,random,4096,2,4,233153,233153,0,0
col_branchless,random,4096,2,4,440716,440716,0,0
row_all,random,4096,2,4,209781,204851,4898,32
row_iter,random,4096,2,4,188866,183989,4859,18
row_all_dynamic,random,4096,2,4,383190,378315,4845,30
