category,distribution,count,columns,col_width,total,sort,scatter,gather
col,random,4096,1,4,750790,750790,0,0
col_ss,random,4096,1,4,690188,690188,0,0
col_branchless,random,4096,1,4,713506,713506,0,0
row_all,random,4096,1,4,608353,583146,25074,133
row_iter,random,4096,1,4,656789,636758,19935,96
row_all_dynamic,random,4096,1,4,779749,770083,9597,69
row_all_branchless,random,4096,1,4,600134,590012,10057,65
col,random,4096,1,4,712212,712212,0,0
col_ss,random,4096,1,4,667809,667809,0,0
col_branchless,random,4096,1,4,710102,710102,0,0
row_all,random,4096,1,4,591319,581502,9720,97
row_iter,random,4096,1,4,627620,617946,9577,97
row_all_dynamic,random,4096,1,4,532373,522816,9500,57
row_all_branchless,random,4096,1,4,372139,366124,5968,47
col,random,4096,1,4,450979,450979,0,0
col_ss,random,4096,1,4,425532,425532,0,0
col_branchless,random,4096,1,4,445967,445967,0,0
row_all,random,4096,1,4,371134,364902,6186,46
row_iter,random,4096,1,4,397999,391914,6025,60
row_all_dynamic,random,4096,1,4,474109,468110,5955,44
row_all_branchless,random,4096,1,4,372192,366073,6072,47
col,random,4096,1,4,446131,446131,0,0
col_ss,random,4096,1,4,424932,424932,0,0
col_branchless,random,4096,1,4,446477,446477,0,0
row_all,random,4096,1,4,368831,362692,6081,58
row_iter,random,4096,1,4,398309,392252,6009,48
row_all_dynamic,random,4096,1,4,475497,469575,5865,57
row_all_branchless,random,4096,1,4,374125,368104,5975,46
col,random,4096,1,4,457663,457663,0,0
col_ss,random,4096,1,4,426427,426427,0,0
col_branchless,random,4096,1,4,446453,446453,0,0
row_all,random,4096,1,4,374419,368228,6119,72
row_iter,random,4096,1,4,276401,270367,5995,39
row_all_dynamic,random,4096,1,4,310540,306610,3901,29
row_all_branchless,random,4096,1,4,243479,239530,3912,37
col,powerlaw,4096,1,4,229732,229732,0,0
col_ss,powerlaw,4096,1,4,220648,220648,0,0
col_branchless,powerlaw,4096,1,4,226865,226865,0,0
row_all,powerlaw,4096,1,4,200663,196538,4085,40
row_iter,powerlaw,4096,1,4,207256,203255,3960,41
row_all_dynamic,powerlaw,4096,1,4,254735,250777,3920,38
row_all_branchless,powerlaw,4096,1,4,200765,196784,3920,61
col,powerlaw,4096,1,4,229691,229691,0,0
col_ss,powerlaw,4096,1,4,222734,222734,0,0
col_branchless,powerlaw,4096,1,4,228092,228092,0,0
row_all,powerlaw,4096,1,4,201991,197991,3971,29
row_iter,powerlaw,4096,1,4,210553,206579,3935,39
row_all_dynamic,powerlaw,4096,1,4,257262,253274,3952,36
row_all_branchless,powerlaw,4096,1,4,202572,198567,3965,40
col,powerlaw,4096,1,4,228798,228798,0,0
col_ss,powerlaw,4096,1,4,221126,221126,0,0
col_branchless,powerlaw,4096,1,4,227026,227026,0,0
row_all,powerlaw,4096,1,4,199624,195608,3976,40
row_iter,powerlaw,4096,1,4,208495,204496,3960,39
row_all_dynamic,powerlaw,4096,1,4,257393,253409,3946,38
row_all_branchless,powerlaw,4096,1,4,198597,194643,3927,27
col,powerlaw,4096,1,4,229054,229054,0,0
col_ss,powerlaw,4096,1,4,222200,222200,0,0
col_branchless,powerlaw,4096,1,4,229771,229771,0,0
row_all,powerlaw,4096,1,4,180976,177258,3691,27
row_iter,powerlaw,4096,1,4,191233,187648,3558,27
row_all_dynamic,powerlaw,4096,1,4,231437,227902,3502,33
row_all_branchless,powerlaw,4096,1,4,180973,177466,3483,24
col,powerlaw,4096,1,4,188192,188192,0,0
col_ss,powerlaw,4096,1,4,183521,183521,0,0
col_branchless,powerlaw,4096,1,4,188456,188456,0,0
row_all,powerlaw,4096,1,4,166102,162741,3344,17
row_iter,powerlaw,4096,1,4,171756,168473,3260,23
row_all_dynamic,powerlaw,4096,1,4,227306,224039,3244,23
row_all_branchless,powerlaw,4096,1,4,165715,162434,3263,18
col,correlated0.1,4096,1,4,143387,143387,0,0
col_ss,correlated0.1,4096,1,4,139895,139895,0,0
col_branchless,correlated0.1,4096,1,4,150589,150589,0,0
row_all,correlated0.1,4096,1,4,130583,127204,3356,23
row_iter,correlated0.1,4096,1,4,138005,134709,3272,24
row_all_dynamic,correlated0.1,4096,1,4,189277,185978,3268,31
row_all_branchless,correlated0.1,4096,1,4,131044,127766,3261,17
col,correlated0.1,4096,1,4,148467,148467,0,0
