num_bytes,type,time
0,dynamic,3.47929
0,static,2.18767
1,dynamic,8.61754
1,static,2.83729
2,dynamic,11.468
2,static,2.311
3,dynamic,12.4788
3,static,7.08192
4,dynamic,12.9135
4,static,2.83537
5,dynamic,13.4198
5,static,5.54217
6,dynamic,13.8878
6,static,8.06288
7,dynamic,14.1871
7,static,8.19417
8,dynamic,14.5491
8,static,2.40267
9,dynamic,14.9986
9,static,4.42067
10,dynamic,15.3522
10,static,5.7365
11,dynamic,15.7287
11,static,6.49075
12,dynamic,16.159
12,static,6.68621
13,dynamic,16.5539
13,static,6.85679
14,dynamic,16.9085
14,static,7.31521
15,dynamic,17.3318
15,static,7.27183
16,dynamic,3.55796
16,static,7.07004
17,dynamic,4.61975
17,static,7.44404
18,dynamic,5.7235
18,static,8.18037
19,dynamic,6.72683
19,static,8.30237
20,dynamic,7.65275
20,static,8.33912
21,dynamic,8.49429
21,static,8.43842
22,dynamic,9.33004
22,static,8.64829
23,dynamic,9.9765
23,static,8.43796
24,dynamic,10.7055
24,static,8.46988
25,dynamic,11.4575
25,static,8.63462
26,dynamic,12.1512
26,static,9.15483
27,dynamic,13.2675
27,static,9.34163
28,dynamic,13.5661
28,static,9.41488
29,dynamic,14.0192
29,static,9.59925
30,dynamic,14.5357
30,static,9.59388
31,dynamic,14.9806
31,static,9.56975
32,dynamic,8.75667
32,static,9.42621
33,dynamic,9.17542
33,static,9.58596
34,dynamic,9.64921
34,static,9.91667
35,dynamic,10.1822
35,static,10.0316
36,dynamic,10.836
36,static,9.99942
37,dynamic,11.337
37,static,10.1569
38,dynamic,11.7015
38,static,10.1941
39,dynamic,11.8821
39,static,10.1823
40,dynamic,12.5282
40,static,9.96604
41,dynamic,12.944
41,static,10.0693
42,dynamic,13.2797
42,static,10.773
43,dynamic,13.5637
43,static,10.4849
44,dynamic,13.9474
44,static,10.519
45,dynamic,14.3677
45,static,10.5527
46,dynamic,14.7521
46,static,10.5732
47,dynamic,15.076
47,static,10.5679
48,dynamic,10.808
48,static,10.7396
49,dynamic,11.3933
49,static,10.5305
50,dynamic,11.7224
50,static,10.9934
51,dynamic,12.055
51,static,10.7125
52,dynamic,12.343
52,static,10.7381
53,dynamic,12.5737
53,static,10.7662
54,dynamic,12.9905
54,static,10.7722
55,dynamic,13.2341
55,static,10.7544
56,dynamic,13.5139
56,static,10.6817
57,dynamic,13.7912
57,static,10.7297
58,dynamic,14.3566
58,static,11.1425
59,dynamic,14.3837
59,static,10.9288
60,dynamic,14.7423
60,static,10.956
61,dynamic,15.1178
61,static,10.9961
62,dynamic,15.387
62,static,11.0485
63,dynamic,15.6443
63,static,11.0086
64,dynamic,12.3544
64,static,10.9939
