num_bytes,type,time
0,dynamic,3.45087
0,static,2.18796
1,dynamic,8.59212
1,static,2.87929
2,dynamic,11.5211
2,static,2.83321
3,dynamic,12.3266
3,static,7.06487
4,dynamic,13.0086
4,static,3.00696
5,dynamic,13.411
5,static,5.55033
6,dynamic,13.8441
6,static,8.11475
7,dynamic,14.2882
7,static,8.31808
8,dynamic,14.9041
8,static,2.59346
9,dynamic,14.9482
9,static,4.42654
10,dynamic,15.3969
10,static,5.90983
11,dynamic,15.7397
11,static,6.08683
12,dynamic,16.1485
12,static,6.54067
13,dynamic,16.564
13,static,7.32017
14,dynamic,16.9349
14,static,7.20975
15,dynamic,17.3063
15,static,7.27542
16,dynamic,3.73862
16,static,7.11646
17,dynamic,4.62346
17,static,7.31829
18,dynamic,5.72158
18,static,8.11075
19,dynamic,6.76487
19,static,8.33304
20,dynamic,7.685
20,static,8.20167
21,dynamic,8.57842
21,static,8.48454
22,dynamic,9.39687
22,static,8.62862
23,dynamic,10.1219
23,static,8.59692
24,dynamic,10.8589
24,static,8.58292
25,dynamic,11.5832
25,static,8.6635
26,dynamic,12.4258
26,static,9.19804
27,dynamic,13.1505
27,static,9.346
28,dynamic,13.6974
28,static,9.33146
29,dynamic,14.1415
29,static,9.72604
30,dynamic,14.6897
30,static,9.58488
31,dynamic,15.1725
31,static,9.49338
32,dynamic,8.99242
32,static,9.72379
33,dynamic,9.49479
33,static,9.68137
34,dynamic,9.93425
34,static,9.94962
35,dynamic,10.5701
35,static,9.94504
36,dynamic,11.0928
36,static,10.0713
37,dynamic,11.3947
37,static,10.1126
38,dynamic,11.647
38,static,10.1281
39,dynamic,12.1107
39,static,10.0922
40,dynamic,12.542
40,static,10.1922
41,dynamic,12.9158
41,static,10.1427
42,dynamic,13.3601
42,static,10.796
43,dynamic,13.8111
43,static,10.442
44,dynamic,14.1818
44,static,10.5134
45,dynamic,14.6261
45,static,10.5703
46,dynamic,17.7255
46,static,12.5102
47,dynamic,18.572
47,static,15.7832
48,dynamic,12.3056
48,static,11.7699
49,dynamic,11.4255
49,static,10.5489
50,dynamic,13.3782
50,static,12.5238
51,dynamic,13.6874
51,static,12.104
52,dynamic,14.0486
52,static,11.6811
53,dynamic,12.7596
53,static,10.8642
54,dynamic,12.9596
54,static,10.8035
55,dynamic,13.1704
55,static,10.7794
56,dynamic,13.6194
56,static,11.1923
57,dynamic,14.0618
57,static,10.9141
58,dynamic,14.2715
58,static,11.3225
59,dynamic,14.6906
59,static,11.0539
60,dynamic,14.7589
60,static,11.052
61,dynamic,15.1541
61,static,11.1424
62,dynamic,15.3372
62,static,11.1151
63,dynamic,15.6735
63,static,11.0024
64,dynamic,12.4614
64,static,10.9991
