num_bytes,type,time
0,dynamic,9.62091
0,static,4.4066
1,dynamic,15.2076
1,static,9.57988
2,dynamic,18.3614
2,static,9.46985
3,dynamic,21.3214
3,static,15.0955
4,dynamic,14.6947
4,static,11.1257
5,dynamic,17.4586
5,static,14.7794
6,dynamic,18.283
6,static,16.9362
7,dynamic,18.5878
7,static,20.0813
8,dynamic,13.3531
8,static,11.1113
9,dynamic,15.4232
9,static,12.579
10,dynamic,15.9566
10,static,14.8571
11,dynamic,16.4176
11,static,15.6393
12,dynamic,17.016
12,static,16.2699
13,dynamic,17.3023
13,static,15.1943
14,dynamic,17.5786
14,static,15.7727
15,dynamic,17.6269
15,static,16.0691
16,dynamic,13.7678
16,static,17.7465
17,dynamic,14.7782
17,static,18.0482
18,dynamic,15.2176
18,static,17.8732
19,dynamic,15.6479
19,static,19.254
20,dynamic,15.8738
20,static,18.4491
21,dynamic,16.3559
21,static,18.6295
22,dynamic,16.6313
22,static,18.5848
23,dynamic,17.0817
23,static,18.6316
24,dynamic,17.0825
24,static,18.695
25,dynamic,17.4728
25,static,21.3018
26,dynamic,17.7662
26,static,19.72
27,dynamic,17.9737
27,static,19.9263
28,dynamic,17.7899
28,static,21.031
29,dynamic,18.241
29,static,21.5486
30,dynamic,18.3141
30,static,21.6671
31,dynamic,18.5423
31,static,22.0878
32,dynamic,18.1581
32,static,20.1974
33,dynamic,19.1913
33,static,20.3434
34,dynamic,19.2927
34,static,20.8872
35,dynamic,19.5135
35,static,23.4177
36,dynamic,19.4861
36,static,22.5739
37,dynamic,19.7341
37,static,21.8101
38,dynamic,19.8916
38,static,24.163
39,dynamic,20.1188
39,static,21.1387
40,dynamic,19.9903
40,static,24.1699
41,dynamic,20.361
41,static,22.7974
42,dynamic,20.4747
42,static,25.0254
43,dynamic,20.5508
43,static,24.3816
44,dynamic,20.3864
44,static,22.248
45,dynamic,20.6835
45,static,24.4736
46,dynamic,20.7501
46,static,23.9771
47,dynamic,20.8357
47,static,23.1304
48,dynamic,20.3268
48,static,22.8173
49,dynamic,21.4508
49,static,24.3715
50,dynamic,21.6477
50,static,23.6242
51,dynamic,21.8648
51,static,23.7129
52,dynamic,22.051
52,static,24.1389
53,dynamic,22.2304
53,static,24.5042
54,dynamic,22.3535
54,static,24.9369
55,dynamic,22.5581
55,static,24.9719
56,dynamic,22.7122
56,static,23.1961
57,dynamic,22.8342
57,static,25.4236
58,dynamic,23.136
58,static,24.1205
59,dynamic,23.0804
59,static,24.4181
60,dynamic,23.1002
60,static,25.1695
61,dynamic,23.1767
61,static,24.6738
62,dynamic,23.1983
62,static,25.627
63,dynamic,23.1902
63,static,26.0062
64,dynamic,22.3458
64,static,25.8882
