num_bytes,type,time
0,dynamic,9.61139
0,static,5.20596
1,dynamic,13.9911
1,static,8.57598
2,dynamic,17.304
2,static,19.9754
3,dynamic,20.3854
3,static,23.8869
4,dynamic,13.7851
4,static,18.3368
5,dynamic,16.5742
5,static,19.1909
6,dynamic,17.3878
6,static,20.0416
7,dynamic,17.6667
7,static,21.0789
8,dynamic,12.4035
8,static,14.9032
9,dynamic,14.317
9,static,16.7679
10,dynamic,14.9564
10,static,19.6128
11,dynamic,15.591
11,static,18.8008
12,dynamic,16.0651
12,static,18.6447
13,dynamic,16.4212
13,static,18.9957
14,dynamic,16.6461
14,static,19.2547
15,dynamic,16.7224
15,static,21.4669
16,dynamic,12.7109
16,static,14.89
17,dynamic,13.6975
17,static,16.042
18,dynamic,14.1421
18,static,18.5342
19,dynamic,14.5814
19,static,19.7348
20,dynamic,14.8316
20,static,17.2742
21,dynamic,15.2781
21,static,18.5288
22,dynamic,15.6368
22,static,20.1493
23,dynamic,15.9779
23,static,19.1576
24,dynamic,15.9855
24,static,18.6454
25,dynamic,16.5326
25,static,21.0516
26,dynamic,16.7873
26,static,21.241
27,dynamic,17.018
27,static,22.2559
28,dynamic,16.8307
28,static,19.3588
29,dynamic,17.2928
29,static,19.6843
30,dynamic,17.3882
30,static,19.7386
31,dynamic,17.4575
31,static,22.5256
32,dynamic,17.0019
32,static,21.686
33,dynamic,17.9081
33,static,20.4977
34,dynamic,18.1281
34,static,20.7104
35,dynamic,18.3526
35,static,23.7556
36,dynamic,18.415
36,static,23.1903
37,dynamic,18.7324
37,static,23.3623
38,dynamic,18.8683
38,static,21.3287
39,dynamic,19.0388
39,static,22.1609
40,dynamic,18.9324
40,static,21.6245
41,dynamic,19.268
41,static,21.8223
42,dynamic,19.4171
42,static,21.9147
43,dynamic,19.512
43,static,24.774
44,dynamic,19.2653
44,static,24.1275
45,dynamic,19.6963
45,static,24.1396
46,dynamic,19.7204
46,static,24.1515
47,dynamic,19.7129
47,static,22.8928
48,dynamic,19.3066
48,static,24.1055
49,dynamic,20.7974
49,static,23.4534
50,dynamic,21.0994
50,static,26.1027
51,dynamic,21.4436
51,static,24.9296
52,dynamic,21.736
52,static,24.3914
53,dynamic,22.026
53,static,27.0616
54,dynamic,22.2569
54,static,24.9134
55,dynamic,22.5202
55,static,26.0548
56,dynamic,22.7773
56,static,25.5152
57,dynamic,23.0409
57,static,25.8125
58,dynamic,23.2643
58,static,28.4989
59,dynamic,23.4707
59,static,27.0451
60,dynamic,23.6205
60,static,26.6465
61,dynamic,23.7663
61,static,26.7428
62,dynamic,23.8426
62,static,26.8996
63,dynamic,23.8821
63,static,29.8985
64,dynamic,23.2304
64,static,26.3378
