num_bytes,type,time
0,dynamic,5.17056
0,static,3.88268
1,dynamic,9.30822
1,static,9.45804
2,dynamic,9.59085
2,static,9.5177
3,dynamic,9.62503
3,static,13.8347
4,dynamic,12.1203
4,static,9.45422
5,dynamic,11.5988
5,static,12.4313
6,dynamic,11.4124
6,static,14.8678
7,dynamic,11.2952
7,static,14.8249
8,dynamic,11.8337
8,static,9.44842
9,dynamic,13.7438
9,static,11.2734
10,dynamic,14.7169
10,static,12.7439
11,dynamic,15.4361
11,static,13.406
12,dynamic,16.1201
12,static,13.8661
13,dynamic,16.6437
13,static,14.4102
14,dynamic,16.9995
14,static,14.5512
15,dynamic,17.1065
15,static,14.8973
16,dynamic,10.7491
16,static,14.4358
17,dynamic,11.5331
17,static,14.0711
18,dynamic,12.3041
18,static,13.5107
19,dynamic,12.9505
19,static,14.2
20,dynamic,13.5409
20,static,14.7779
21,dynamic,14.08
21,static,15.266
22,dynamic,14.5371
22,static,15.7193
23,dynamic,14.9322
23,static,16.0788
24,dynamic,15.2559
24,static,16.3113
25,dynamic,15.5396
25,static,16.6663
26,dynamic,15.7125
26,static,16.8839
27,dynamic,15.8483
27,static,17.0375
28,dynamic,15.944
28,static,17.1352
29,dynamic,16.0301
29,static,17.2626
30,dynamic,16.0333
30,static,19.0537
31,dynamic,15.9949
31,static,17.3255
32,dynamic,9.73551
32,static,10.3239
33,dynamic,10.1053
33,static,11.4918
34,dynamic,10.3516
34,static,11.0875
35,dynamic,10.6819
35,static,11.3406
36,dynamic,10.9021
36,static,11.8458
37,dynamic,11.2156
37,static,11.875
38,dynamic,11.4219
38,static,12.2548
39,dynamic,11.7003
39,static,12.4939
40,dynamic,12.0481
40,static,12.8478
41,dynamic,12.2129
41,static,12.9668
42,dynamic,12.4138
42,static,13.2285
43,dynamic,12.64
43,static,14.1048
44,dynamic,12.8361
44,static,13.6682
45,dynamic,13.0053
45,static,13.931
46,dynamic,13.2443
46,static,15.0353
47,dynamic,13.4912
47,static,14.3857
48,dynamic,13.6051
48,static,14.5596
49,dynamic,13.7874
49,static,15.4941
50,dynamic,14.188
50,static,15.0369
51,dynamic,14.4999
51,static,15.2877
52,dynamic,14.3237
52,static,15.5082
53,dynamic,14.4361
53,static,15.3009
54,dynamic,14.5588
54,static,15.4269
55,dynamic,14.6107
55,static,15.4253
56,dynamic,14.7127
56,static,16.3043
57,dynamic,14.7483
57,static,15.6067
58,dynamic,14.7543
58,static,15.6574
59,dynamic,14.8623
59,static,15.7489
60,dynamic,14.8803
60,static,15.7576
61,dynamic,14.9006
61,static,15.7822
62,dynamic,14.8816
62,static,16.9784
63,dynamic,14.9309
63,static,15.8207
64,dynamic,14.9099
64,static,15.8224
