num_bytes,type,time
0,dynamic,1.92633
0,static,1.31375
1,dynamic,1.67483
1,static,1.28542
2,dynamic,1.9045
2,static,1.25487
3,dynamic,3.4515
3,static,1.25433
4,dynamic,3.86508
4,static,1.25717
5,dynamic,4.08162
5,static,1.24867
6,dynamic,4.40842
6,static,1.25125
7,dynamic,4.79142
7,static,1.25992
8,dynamic,2.19912
8,static,1.26871
9,dynamic,1.873
9,static,1.26438
10,dynamic,2.20167
10,static,1.25121
11,dynamic,3.76608
11,static,1.25117
12,dynamic,4.0815
12,static,1.25179
13,dynamic,4.42229
13,static,1.25283
14,dynamic,4.69904
14,static,1.56058
15,dynamic,4.99883
15,static,1.2485
16,dynamic,3.15325
16,static,1.2695
17,dynamic,3.45442
17,static,1.2485
18,dynamic,3.12379
18,static,1.24996
19,dynamic,4.68796
19,static,1.2485
20,dynamic,5.00371
20,static,1.24846
21,dynamic,5.33546
21,static,1.2495
22,dynamic,5.62512
22,static,1.25108
23,dynamic,5.95396
23,static,1.25117
24,dynamic,3.43333
24,static,1.25121
25,dynamic,3.76633
25,static,1.25746
26,dynamic,3.44725
26,static,1.25725
27,dynamic,5.03362
27,static,1.24846
28,dynamic,5.31175
28,static,1.25292
29,dynamic,5.64017
29,static,1.25212
30,dynamic,5.94
30,static,1.25121
31,dynamic,6.2465
31,static,1.2525
32,dynamic,3.75104
32,static,1.56942
33,dynamic,4.06408
33,static,1.60987
34,dynamic,3.74808
34,static,1.56329
35,dynamic,5.31329
35,static,1.56325
36,dynamic,5.62858
36,static,1.56329
37,dynamic,5.94129
37,static,1.56508
38,dynamic,6.24229
38,static,1.56325
39,dynamic,6.56625
39,static,1.60921
40,dynamic,4.16296
40,static,1.56358
41,dynamic,4.38596
41,static,1.56546
42,dynamic,4.06783
42,static,1.56067
43,dynamic,5.64675
43,static,1.57096
44,dynamic,5.93837
44,static,1.57233
45,dynamic,6.27096
45,static,1.568
46,dynamic,6.57021
46,static,1.56067
47,dynamic,6.87375
47,static,1.56392
48,dynamic,4.37437
48,static,1.56396
49,dynamic,4.69683
49,static,1.56329
50,dynamic,4.38254
50,static,1.56071
51,dynamic,5.93025
51,static,1.56792
52,dynamic,6.26142
52,static,1.57875
53,dynamic,6.56817
53,static,1.57033
54,dynamic,6.87367
54,static,1.58062
55,dynamic,7.19304
55,static,1.56067
56,dynamic,4.69313
56,static,1.57004
57,dynamic,4.9965
57,static,1.56329
58,dynamic,4.68346
58,static,1.56321
59,dynamic,6.25704
59,static,1.56583
60,dynamic,6.55704
60,static,1.56062
61,dynamic,6.87358
61,static,1.56067
62,dynamic,7.18963
62,static,1.56071
63,dynamic,7.51133
63,static,1.56325
64,dynamic,1.87546
64,static,1.24854
