num_bytes,type,time
0,dynamic,3.94687
0,static,2.51762
1,dynamic,5.10083
1,static,3.79075
2,dynamic,5.29296
2,static,3.11892
3,dynamic,8.35525
3,static,2.66938
4,dynamic,7.69879
4,static,2.31758
5,dynamic,7.30237
5,static,2.04504
6,dynamic,7.15667
6,static,1.83429
7,dynamic,6.74104
7,static,1.67783
8,dynamic,2.93154
8,static,1.66479
9,dynamic,2.32025
9,static,1.56333
10,dynamic,2.72683
10,static,1.51754
11,dynamic,4.33433
11,static,1.44575
12,dynamic,4.62579
12,static,1.34129
13,dynamic,4.69279
13,static,1.34133
14,dynamic,4.98142
14,static,1.29475
15,dynamic,5.14204
15,static,1.28887
16,dynamic,3.1825
16,static,1.27242
17,dynamic,3.47392
17,static,1.27783
18,dynamic,3.2845
18,static,1.24896
19,dynamic,4.69704
19,static,1.25625
20,dynamic,5.00692
20,static,1.24846
21,dynamic,5.34912
21,static,1.25117
22,dynamic,5.63546
22,static,1.25142
23,dynamic,5.93771
23,static,1.26529
24,dynamic,3.45487
24,static,1.24854
25,dynamic,3.75663
25,static,1.25117
26,dynamic,3.43337
26,static,1.25821
27,dynamic,4.99388
27,static,1.25113
28,dynamic,5.33988
28,static,1.25654
29,dynamic,5.62692
29,static,1.25287
30,dynamic,5.95287
30,static,1.25125
31,dynamic,6.26408
31,static,1.26375
32,dynamic,3.76463
32,static,1.56525
33,dynamic,4.06021
33,static,1.56062
34,dynamic,3.75571
34,static,1.56317
35,dynamic,5.31487
35,static,1.56092
36,dynamic,5.62737
36,static,1.56329
37,dynamic,5.97971
37,static,1.57575
38,dynamic,6.25125
38,static,1.56783
39,dynamic,6.58971
39,static,1.56079
40,dynamic,4.06533
40,static,1.57133
41,dynamic,4.37767
41,static,1.56796
42,dynamic,4.08558
42,static,1.56329
43,dynamic,5.64633
43,static,1.56329
44,dynamic,5.937
44,static,1.60917
45,dynamic,6.27663
45,static,1.56371
46,dynamic,6.56721
46,static,1.61271
47,dynamic,6.90113
47,static,1.56062
48,dynamic,4.37725
48,static,1.56329
49,dynamic,4.70758
49,static,1.56325
50,dynamic,4.37371
50,static,1.56088
51,dynamic,5.93604
51,static,1.56083
52,dynamic,6.24342
52,static,1.56096
53,dynamic,6.56454
53,static,1.56146
54,dynamic,6.89229
54,static,1.56071
55,dynamic,7.216
55,static,1.58512
56,dynamic,4.68433
56,static,1.56554
57,dynamic,5.00617
57,static,1.56812
58,dynamic,4.68983
58,static,1.56325
59,dynamic,6.32125
59,static,1.56346
60,dynamic,6.62683
60,static,1.56233
61,dynamic,6.86958
61,static,1.56067
62,dynamic,7.18033
62,static,1.62158
63,dynamic,7.73388
63,static,1.56329
64,dynamic,1.87546
64,static,1.27262
