num_bytes,type,time
0,dynamic,6.00578
0,static,2.0102
1,dynamic,5.60958
1,static,2.4029
2,dynamic,5.60637
2,static,2.00334
3,dynamic,5.61026
3,static,2.40043
4,dynamic,5.20487
4,static,3.20517
5,dynamic,5.20286
5,static,3.60517
6,dynamic,5.20277
6,static,2.00593
7,dynamic,5.20685
7,static,2.40044
8,dynamic,4.80848
8,static,2.00821
9,dynamic,4.80261
9,static,3.60534
10,dynamic,4.80271
10,static,3.60517
11,dynamic,4.80483
11,static,3.20006
12,dynamic,4.81007
12,static,2.40039
13,dynamic,4.80585
13,static,3.2023
14,dynamic,4.80256
14,static,2.0089
15,dynamic,4.8027
15,static,2.40252
16,dynamic,4.40585
16,static,3.20213
17,dynamic,4.40264
17,static,3.60554
18,dynamic,4.40259
18,static,3.20276
19,dynamic,4.40476
19,static,3.60005
20,dynamic,4.40783
20,static,3.60005
21,dynamic,4.40776
21,static,3.20005
22,dynamic,4.40461
22,static,2.63045
23,dynamic,4.40285
23,static,2.55099
24,dynamic,4.40561
24,static,2.4736
25,dynamic,4.4028
25,static,3.60621
26,dynamic,4.40257
26,static,2.57767
27,dynamic,4.40276
27,static,3.60212
28,dynamic,4.4059
28,static,3.60229
29,dynamic,4.40548
29,static,2.58233
30,dynamic,4.40256
30,static,2.55925
31,dynamic,4.40268
31,static,2.57904
32,dynamic,4.40621
32,static,3.60211
33,dynamic,4.8057
33,static,3.60235
34,dynamic,4.80261
34,static,4.00529
35,dynamic,4.80261
35,static,3.60522
36,dynamic,4.80267
36,static,2.80258
37,dynamic,4.80563
37,static,3.6021
38,dynamic,4.80564
38,static,2.80296
39,dynamic,4.8031
39,static,3.60533
40,dynamic,4.80259
40,static,3.60541
41,dynamic,4.80269
41,static,2.56024
42,dynamic,4.80531
42,static,4.00209
43,dynamic,4.80572
43,static,3.60228
44,dynamic,4.80514
44,static,2.80427
45,dynamic,4.80273
45,static,2.56227
46,dynamic,4.80272
46,static,2.80252
47,dynamic,4.80514
47,static,2.56039
48,dynamic,4.80694
48,static,4.00226
49,dynamic,4.80259
49,static,3.60506
50,dynamic,4.80259
50,static,2.80571
51,dynamic,4.80269
51,static,4.00258
52,dynamic,4.80565
52,static,2.42785
53,dynamic,4.80675
53,static,4.0023
54,dynamic,4.80507
54,static,3.60227
55,dynamic,4.80465
55,static,2.91212
56,dynamic,4.80268
56,static,2.41466
57,dynamic,4.80543
57,static,4.00211
58,dynamic,4.80615
58,static,3.30446
59,dynamic,4.80515
59,static,4.00229
60,dynamic,4.80462
60,static,3.60554
61,dynamic,4.80259
61,static,3.60474
62,dynamic,4.8026
62,static,4.0057
63,dynamic,4.803
63,static,3.29621
64,dynamic,4.80561
64,static,2.40312
