num_bytes,type,time
0,dynamic,6.83062
0,static,3.2001
1,dynamic,6.80845
1,static,3.60261
2,dynamic,6.81436
2,static,3.20235
3,dynamic,6.80646
3,static,3.60221
4,dynamic,6.00764
4,static,3.20005
5,dynamic,6.00832
5,static,3.60212
6,dynamic,6.0055
6,static,3.20531
7,dynamic,6.00781
7,static,3.60288
8,dynamic,5.60565
8,static,3.20241
9,dynamic,5.60607
9,static,3.60232
10,dynamic,5.60828
10,static,3.60008
11,dynamic,5.609
11,static,3.20253
12,dynamic,5.60314
12,static,3.60581
13,dynamic,5.60261
13,static,3.20495
14,dynamic,5.60471
14,static,3.20367
15,dynamic,5.60473
15,static,3.60257
16,dynamic,5.20777
16,static,3.20266
17,dynamic,5.20639
17,static,3.60273
18,dynamic,5.20536
18,static,3.20229
19,dynamic,5.20518
19,static,3.60229
20,dynamic,5.20464
20,static,3.60282
21,dynamic,5.20628
21,static,3.20531
22,dynamic,5.20266
22,static,3.60313
23,dynamic,5.20564
23,static,3.20248
24,dynamic,5.20607
24,static,3.20276
25,dynamic,5.20578
25,static,3.60229
26,dynamic,5.20548
26,static,3.20376
27,dynamic,5.20477
27,static,3.60319
28,dynamic,5.20508
28,static,3.60855
29,dynamic,5.20266
29,static,4.40501
30,dynamic,5.203
30,static,3.60274
31,dynamic,5.20883
31,static,3.20037
32,dynamic,5.20745
32,static,3.20005
33,dynamic,5.2078
33,static,3.20215
34,dynamic,5.20511
34,static,3.20234
35,dynamic,5.20261
35,static,3.60502
36,dynamic,5.20312
36,static,3.20718
37,dynamic,5.20257
37,static,3.60263
38,dynamic,5.20869
38,static,4.80212
39,dynamic,5.20556
39,static,3.20215
40,dynamic,5.20528
40,static,3.60215
41,dynamic,5.21565
41,static,3.20413
42,dynamic,5.20553
42,static,3.20232
43,dynamic,5.20509
43,static,3.60297
44,dynamic,5.20472
44,static,3.20562
45,dynamic,5.2026
45,static,3.60276
46,dynamic,5.20591
46,static,3.60405
47,dynamic,5.20604
47,static,3.20232
48,dynamic,5.20571
48,static,3.60273
49,dynamic,5.20766
49,static,3.60007
50,dynamic,5.20462
50,static,3.60545
51,dynamic,5.20261
51,static,3.20711
52,dynamic,5.20267
52,static,3.20558
53,dynamic,5.20305
53,static,4.80467
54,dynamic,5.20471
54,static,3.60247
55,dynamic,5.20572
55,static,3.60248
56,dynamic,5.20588
56,static,3.60357
57,dynamic,5.20597
57,static,3.6023
58,dynamic,5.20623
58,static,3.60233
59,dynamic,5.20521
59,static,3.20321
60,dynamic,5.22304
60,static,3.20525
61,dynamic,5.20266
61,static,3.60588
62,dynamic,5.20271
62,static,3.60277
63,dynamic,5.2068
63,static,3.60251
64,dynamic,5.20741
64,static,3.60005
