num_bytes,type,time
0,dynamic,2.79953
0,static,2.26806
1,dynamic,2.4539
1,static,2.91206
2,dynamic,2.78979
2,static,2.58074
3,dynamic,2.78301
3,static,3.04242
4,dynamic,2.78654
4,static,2.58075
5,dynamic,2.78417
5,static,2.9172
6,dynamic,2.77433
6,static,2.65038
7,dynamic,2.78217
7,static,3.37103
8,dynamic,3.09694
8,static,2.58869
9,dynamic,3.10925
9,static,2.90644
10,dynamic,3.10459
10,static,2.91683
11,dynamic,3.10478
11,static,3.70008
12,dynamic,3.10038
12,static,2.92037
13,dynamic,3.10452
13,static,3.38068
14,dynamic,3.10886
14,static,3.37086
15,dynamic,3.08233
15,static,3.38432
16,dynamic,2.78261
16,static,2.58081
17,dynamic,2.77214
17,static,2.91281
18,dynamic,2.73402
18,static,2.91466
19,dynamic,2.78912
19,static,3.71185
20,dynamic,2.78421
20,static,2.69769
21,dynamic,2.78229
21,static,3.67499
22,dynamic,2.77838
22,static,3.68445
23,dynamic,2.78203
23,static,3.69501
24,dynamic,2.78235
24,static,2.94703
25,dynamic,2.77437
25,static,3.36022
26,dynamic,2.76242
26,static,3.33015
27,dynamic,2.77817
27,static,3.35135
28,dynamic,2.74509
28,static,3.34119
29,dynamic,2.71238
29,static,3.34964
30,dynamic,2.78203
30,static,3.35962
31,dynamic,2.77446
31,static,3.35324
32,dynamic,2.68327
32,static,2.91179
33,dynamic,2.67964
33,static,3.23823
34,dynamic,2.68754
34,static,3.55755
35,dynamic,2.66626
35,static,4.20054
36,dynamic,2.68716
36,static,3.23488
37,dynamic,2.67635
37,static,4.19431
38,dynamic,2.66799
38,static,4.19949
39,dynamic,2.67091
39,static,4.23033
40,dynamic,2.67216
40,static,3.22902
41,dynamic,2.68288
41,static,3.69852
42,dynamic,2.67179
42,static,3.69175
43,dynamic,2.66949
43,static,3.69383
44,dynamic,2.67115
44,static,3.69571
45,dynamic,2.69639
45,static,3.68282
46,dynamic,2.68582
46,static,3.6917
47,dynamic,2.67359
47,static,3.69612
48,dynamic,2.66396
48,static,3.29954
49,dynamic,3.34783
49,static,3.53192
50,dynamic,3.33796
50,static,3.52352
51,dynamic,3.33209
51,static,4.59581
52,dynamic,3.35162
52,static,3.51702
53,dynamic,3.33779
53,static,4.65956
54,dynamic,3.36288
54,static,4.67701
55,dynamic,3.34122
55,static,4.67063
56,dynamic,3.35289
56,static,3.62459
57,dynamic,3.36076
57,static,4.71579
58,dynamic,3.3521
58,static,4.70727
59,dynamic,3.35115
59,static,4.7019
60,dynamic,3.34222
60,static,4.70256
61,dynamic,3.34926
61,static,4.70339
62,dynamic,3.35534
62,static,4.70254
63,dynamic,3.34294
63,static,4.70733
64,dynamic,2.62173
64,static,3.61038
