num_bytes,type,time
0,dynamic,2.94483
0,static,2.26681
1,dynamic,2.58077
1,static,2.26617
2,dynamic,2.91772
2,static,2.25818
3,dynamic,2.92839
3,static,2.58785
4,dynamic,2.90801
4,static,2.26569
5,dynamic,2.91067
5,static,2.26239
6,dynamic,2.91111
6,static,2.2654
7,dynamic,2.90331
7,static,2.27038
8,dynamic,3.23689
8,static,2.25816
9,dynamic,3.23333
9,static,2.59263
10,dynamic,3.22587
10,static,2.26559
11,dynamic,3.2395
11,static,2.25818
12,dynamic,3.2337
12,static,2.26517
13,dynamic,3.23922
13,static,2.58088
14,dynamic,3.23343
14,static,2.26701
15,dynamic,3.23161
15,static,2.58869
16,dynamic,2.91076
16,static,2.26664
17,dynamic,2.91105
17,static,2.26528
18,dynamic,2.90329
18,static,2.26968
19,dynamic,2.91101
19,static,2.58083
20,dynamic,2.91073
20,static,2.26974
21,dynamic,2.9033
21,static,2.26733
22,dynamic,2.91137
22,static,2.26273
23,dynamic,2.91113
23,static,2.58785
24,dynamic,2.90773
24,static,2.26597
25,dynamic,2.91073
25,static,2.25818
26,dynamic,2.91513
26,static,2.5883
27,dynamic,2.90329
27,static,2.2654
28,dynamic,2.91717
28,static,2.58083
29,dynamic,2.91087
29,static,2.26528
30,dynamic,2.90774
30,static,2.58846
31,dynamic,2.91058
31,static,2.58496
32,dynamic,2.60666
32,static,2.26537
33,dynamic,2.60679
33,static,2.59432
34,dynamic,2.61818
34,static,2.26589
35,dynamic,2.61095
35,static,2.58574
36,dynamic,2.60234
36,static,2.26551
37,dynamic,2.60582
37,static,2.59215
38,dynamic,2.61052
38,static,2.25818
39,dynamic,2.61578
39,static,2.58497
40,dynamic,2.61212
40,static,2.26554
41,dynamic,2.60401
41,static,2.5947
42,dynamic,2.61289
42,static,2.25832
43,dynamic,2.61162
43,static,2.58717
44,dynamic,2.61207
44,static,2.29312
45,dynamic,2.60476
45,static,2.59441
46,dynamic,2.61205
46,static,2.58074
47,dynamic,2.61374
47,static,2.59262
48,dynamic,2.60443
48,static,2.29638
49,dynamic,2.60819
49,static,2.59243
50,dynamic,2.61187
50,static,2.74213
51,dynamic,2.61182
51,static,2.70563
52,dynamic,2.60731
52,static,2.58819
53,dynamic,2.62062
53,static,2.58074
54,dynamic,2.60316
54,static,2.58789
55,dynamic,2.60703
55,static,2.5885
56,dynamic,2.60503
56,static,2.25818
57,dynamic,2.60916
57,static,2.58081
58,dynamic,2.60678
58,static,2.58795
59,dynamic,2.60389
59,static,2.5885
60,dynamic,2.60646
60,static,2.58081
61,dynamic,2.6127
61,static,2.58821
62,dynamic,2.59557
62,static,2.58815
63,dynamic,2.60969
63,static,2.9034
64,dynamic,2.60272
64,static,2.58793
