category,count,columns,col_width,total
col,1024,1,4,42834
row,1024,1,4,47750
col,1024,1,4,23542
row,1024,1,4,41792
col,1024,1,4,24375
row,1024,1,4,41417
col,1024,2,4,37042
row,1024,2,4,161083
col,1024,2,4,41500
row,1024,2,4,46625
col,1024,2,4,40250
row,1024,2,4,48791
col,1024,4,4,73000
row,1024,4,4,148000
col,1024,4,4,61750
row,1024,4,4,51125
col,1024,4,4,65666
row,1024,4,4,46458
col,1024,8,4,120250
row,1024,8,4,83709
col,1024,8,4,115875
row,1024,8,4,44958
col,1024,8,4,120917
row,1024,8,4,43000
col,1024,16,4,223000
row,1024,16,4,80000
col,1024,16,4,217459
row,1024,16,4,51084
col,1024,16,4,222959
row,1024,16,4,53333
col,1024,32,4,410959
row,1024,32,4,94125
col,1024,32,4,414042
row,1024,32,4,81875
col,1024,32,4,413250
row,1024,32,4,77042
col,1024,64,4,884083
row,1024,64,4,91250
col,1024,64,4,776083
row,1024,64,4,91250
col,1024,64,4,774250
row,1024,64,4,93917
col,1024,96,4,1167000
row,1024,96,4,111541
col,1024,96,4,1106167
row,1024,96,4,113917
col,1024,96,4,1229125
row,1024,96,4,110125
col,4096,1,4,108041
row,4096,1,4,165250
col,4096,1,4,101917
row,4096,1,4,166917
col,4096,1,4,103791
row,4096,1,4,163667
col,4096,2,4,155041
row,4096,2,4,165416
col,4096,2,4,177500
row,4096,2,4,153834
col,4096,2,4,170958
row,4096,2,4,157791
col,4096,4,4,243667
row,4096,4,4,166042
col,4096,4,4,257000
row,4096,4,4,164459
col,4096,4,4,262917
row,4096,4,4,165375
col,4096,8,4,441459
row,4096,8,4,180916
col,4096,8,4,502625
row,4096,8,4,178792
col,4096,8,4,395875
row,4096,8,4,179125
col,4096,16,4,770666
row,4096,16,4,209667
col,4096,16,4,758208
row,4096,16,4,198250
col,4096,16,4,846708
row,4096,16,4,232042
col,4096,32,4,1588084
row,4096,32,4,335375
col,4096,32,4,1526250
row,4096,32,4,301459
col,4096,32,4,1532666
row,4096,32,4,301375
col,4096,64,4,2950042
row,4096,64,4,394792
col,4096,64,4,2938584
row,4096,64,4,398125
col,4096,64,4,2997834
row,4096,64,4,409542
col,4096,96,4,4602541
row,4096,96,4,501166
col,4096,96,4,4430250
row,4096,96,4,468541
col,4096,96,4,4451791
row,4096,96,4,517125
col,16384,1,4,389583
row,16384,1,4,685541
col,16384,1,4,365875
row,16384,1,4,658750
col,16384,1,4,365084
row,16384,1,4,620625
col,16384,2,4,570291
row,16384,2,4,631542
col,16384,2,4,538333
row,16384,2,4,621291
col,16384,2,4,542709
row,16384,2,4,619750
col,16384,4,4,951708
row,16384,4,4,657708
col,16384,4,4,897417
row,16384,4,4,655625
col,16384,4,4,898750
row,16384,4,4,656958
col,16384,8,4,1650208
row,16384,8,4,712750
col,16384,8,4,1676833
row,16384,8,4,729041
col,16384,8,4,1823625
row,16384,8,4,749000
col,16384,16,4,3154459
row,16384,16,4,822541
col,16384,16,4,3116584
row,16384,16,4,816292
col,16384,16,4,3112625
row,16384,16,4,841458
col,16384,32,4,6257375
row,16384,32,4,1179625
col,16384,32,4,6032875
row,16384,32,4,1184291
col,16384,32,4,6369375
row,16384,32,4,1170875
col,16384,64,4,12260166
row,16384,64,4,1685167
col,16384,64,4,12795125
row,16384,64,4,1737791
col,16384,64,4,12702250
row,16384,64,4,1669791
col,16384,96,4,18861625
