category,count,columns,col_width,total
col,1024,1,4,14917
row,1024,1,4,15459
col,1024,1,4,12166
row,1024,1,4,15166
col,1024,1,4,12125
row,1024,1,4,15417
col,1024,2,4,21458
row,1024,2,4,7875
col,1024,2,4,21459
row,1024,2,4,7958
col,1024,2,4,21292
row,1024,2,4,7917
col,1024,3,4,22333
row,1024,3,4,6167
col,1024,3,4,18291
row,1024,3,4,6125
col,1024,3,4,18458
row,1024,3,4,6167
col,1024,4,4,18333
row,1024,4,4,6292
col,1024,4,4,18458
row,1024,4,4,6167
col,1024,4,4,44417
row,1024,4,4,13625
col,1024,5,4,44083
row,1024,5,4,10458
col,1024,5,4,34542
row,1024,5,4,10792
col,1024,5,4,34375
row,1024,5,4,10541
col,1024,6,4,34000
row,1024,6,4,10833
col,1024,6,4,34791
row,1024,6,4,10584
col,1024,6,4,34458
row,1024,6,4,10542
col,4096,1,4,63584
row,4096,1,4,91250
col,4096,1,4,63459
row,4096,1,4,93292
col,4096,1,4,63209
row,4096,1,4,91875
col,4096,2,4,134083
row,4096,2,4,38625
col,4096,2,4,117541
row,4096,2,4,38292
col,4096,2,4,113250
row,4096,2,4,55209
col,4096,3,4,119541
row,4096,3,4,36667
col,4096,3,4,115542
row,4096,3,4,35542
col,4096,3,4,117500
row,4096,3,4,35750
col,4096,4,4,111167
row,4096,4,4,30833
col,4096,4,4,101625
row,4096,4,4,30875
col,4096,4,4,99125
row,4096,4,4,30667
col,4096,5,4,102042
row,4096,5,4,33916
col,4096,5,4,100708
row,4096,5,4,29750
col,4096,5,4,89708
row,4096,5,4,26459
col,4096,6,4,87333
row,4096,6,4,30041
col,4096,6,4,85625
row,4096,6,4,26292
col,4096,6,4,100458
row,4096,6,4,26209
col,16384,1,4,130125
row,16384,1,4,213709
col,16384,1,4,129917
row,16384,1,4,204333
col,16384,1,4,129750
row,16384,1,4,200500
col,16384,2,4,326708
row,16384,2,4,89542
col,16384,2,4,289792
row,16384,2,4,89625
col,16384,2,4,290541
row,16384,2,4,81875
col,16384,3,4,315584
row,16384,3,4,75334
col,16384,3,4,289250
row,16384,3,4,68167
col,16384,3,4,329459
row,16384,3,4,75208
col,16384,4,4,270750
row,16384,4,4,63875
col,16384,4,4,276583
row,16384,4,4,59625
col,16384,4,4,253958
row,16384,4,4,60000
col,16384,5,4,255542
row,16384,5,4,62542
col,16384,5,4,245791
row,16384,5,4,57208
col,16384,5,4,244458
row,16384,5,4,59750
col,16384,6,4,238417
row,16384,6,4,59333
col,16384,6,4,238833
row,16384,6,4,55750
col,16384,6,4,234042
row,16384,6,4,59125
col,65536,1,4,327833
row,65536,1,4,485875
col,65536,1,4,312583
row,65536,1,4,498500
col,65536,1,4,313375
row,65536,1,4,506875
col,65536,2,4,711083
row,65536,2,4,246333
col,65536,2,4,738416
row,65536,2,4,244000
col,65536,2,4,710542
row,65536,2,4,244959
col,65536,3,4,845292
row,65536,3,4,231166
col,65536,3,4,851625
row,65536,3,4,229583
col,65536,3,4,848458
row,65536,3,4,225375
col,65536,4,4,859167
row,65536,4,4,227709
col,65536,4,4,897500
row,65536,4,4,223792
col,65536,4,4,872333
row,65536,4,4,224042
col,65536,5,4,861417
row,65536,5,4,227292
col,65536,5,4,877958
row,65536,5,4,224333
col,65536,5,4,879875
row,65536,5,4,222833
col,65536,6,4,861500
row,65536,6,4,226917
col,65536,6,4,861708
row,65536,6,4,227208
col,65536,6,4,917291
row,65536,6,4,226583
col,262144,1,4,1251834
row,262144,1,4,1953334
col,262144,1,4,1253791
row,262144,1,4,1942833
col,262144,1,4,1266041
row,262144,1,4,1969292
col,262144,2,4,2391417
row,262144,2,4,1952041
col,262144,2,4,2387083
row,262144,2,4,1961375
col,262144,2,4,2387708
row,262144,2,4,1959250
col,262144,3,4,3235750
row,262144,3,4,916042
col,262144,3,4,3010334
row,262144,3,4,898708
col,262144,3,4,3188875
row,262144,3,4,912667
col,262144,4,4,3258708
row,262144,4,4,905584
col,262144,4,4,3390042
row,262144,4,4,906334
col,262144,4,4,3442584
row,262144,4,4,909000
col,262144,5,4,3705209
row,262144,5,4,898041
col,262144,5,4,3690292
row,262144,5,4,890084
col,262144,5,4,3180458
row,262144,5,4,903875
col,262144,6,4,3258583
row,262144,6,4,915666
col,262144,6,4,3180459
row,262144,6,4,906666
col,262144,6,4,3210791
row,262144,6,4,912375
col,1048576,1,4,5256334
row,1048576,1,4,7804625
col,1048576,1,4,5245667
row,1048576,1,4,8068500
col,1048576,1,4,5021250
row,1048576,1,4,7805833
col,1048576,2,4,8608584
row,1048576,2,4,7846625
col,1048576,2,4,8576583
row,1048576,2,4,7857584
col,1048576,2,4,8758208
row,1048576,2,4,7860458
col,1048576,3,4,12828333
row,1048576,3,4,3621875
col,1048576,3,4,12738875
row,1048576,3,4,3554833
col,1048576,3,4,12782125
row,1048576,3,4,3582542
col,1048576,4,4,17817084
row,1048576,4,4,3601250
col,1048576,4,4,14485958
row,1048576,4,4,3614000
col,1048576,4,4,17988625
row,1048576,4,4,3604959
col,1048576,5,4,18881292
row,1048576,5,4,3555042
col,1048576,5,4,18420541
row,1048576,5,4,3610875
col,1048576,5,4,15833166
row,1048576,5,4,3573750
col,1048576,6,4,16809625
row,1048576,6,4,3644750
col,1048576,6,4,18628791
row,1048576,6,4,3631209
col,1048576,6,4,18823750
row,1048576,6,4,3632459
col,4194304,1,4,20071791
row,4194304,1,4,31231250
col,4194304,1,4,20031583
row,4194304,1,4,31184625
col,4194304,1,4,20034541
row,4194304,1,4,31119750
col,4194304,2,4,33314917
row,4194304,2,4,31399292
col,4194304,2,4,33275791
row,4194304,2,4,31360542
col,4194304,2,4,33264208
row,4194304,2,4,31325125
col,4194304,3,4,57673625
row,4194304,3,4,14477875
col,4194304,3,4,57673125
row,4194304,3,4,14384208
col,4194304,3,4,58013500
row,4194304,3,4,14453875
col,4194304,4,4,64166250
row,4194304,4,4,14409333
col,4194304,4,4,64268791
row,4194304,4,4,14402208
col,4194304,4,4,64249875
row,4194304,4,4,14377417
col,4194304,5,4,66059667
row,4194304,5,4,14332542
col,4194304,5,4,65045583
row,4194304,5,4,14352375
col,4194304,5,4,64962333
row,4194304,5,4,14524791
col,4194304,6,4,65690375
row,4194304,6,4,14512583
col,4194304,6,4,65726417
row,4194304,6,4,14557542
col,4194304,6,4,65344834
row,4194304,6,4,14536500
