category,count,columns,col_width,total
col,1024,1,4,54083
row,1024,1,4,24292
col,1024,1,4,21792
row,1024,1,4,23792
col,1024,1,4,21917
row,1024,1,4,24042
col,1024,2,4,24458
row,1024,2,4,22958
col,1024,2,4,26958
row,1024,2,4,23958
col,1024,2,4,23750
row,1024,2,4,23416
col,1024,4,4,31542
row,1024,4,4,24334
col,1024,4,4,33000
row,1024,4,4,23750
col,1024,4,4,26916
row,1024,4,4,24041
col,1024,8,4,41416
row,1024,8,4,24500
col,1024,8,4,39334
row,1024,8,4,25583
col,1024,8,4,35917
row,1024,8,4,24792
col,1024,16,4,66250
row,1024,16,4,54750
col,1024,16,4,52792
row,1024,16,4,25333
col,1024,16,4,52792
row,1024,16,4,24958
col,1024,32,4,113042
row,1024,32,4,60875
col,1024,32,4,86291
row,1024,32,4,31334
col,1024,32,4,85875
row,1024,32,4,31250
col,4096,1,4,86458
row,4096,1,4,93834
col,4096,1,4,85250
row,4096,1,4,94208
col,4096,1,4,84791
row,4096,1,4,94584
col,4096,2,4,91958
row,4096,2,4,94750
col,4096,2,4,93084
row,4096,2,4,108833
col,4096,2,4,93417
row,4096,2,4,95042
col,4096,4,4,107000
row,4096,4,4,94625
col,4096,4,4,109792
row,4096,4,4,94958
col,4096,4,4,108583
row,4096,4,4,94542
col,4096,8,4,136709
row,4096,8,4,98833
col,4096,8,4,138375
row,4096,8,4,99375
col,4096,8,4,137125
row,4096,8,4,98958
col,4096,16,4,233375
row,4096,16,4,141084
col,4096,16,4,191584
row,4096,16,4,98750
col,4096,16,4,195958
row,4096,16,4,98167
col,4096,32,4,403667
row,4096,32,4,206791
col,4096,32,4,346709
row,4096,32,4,284583
col,4096,32,4,512750
row,4096,32,4,102542
col,16384,1,4,292500
row,16384,1,4,317625
col,16384,1,4,280417
row,16384,1,4,310750
col,16384,1,4,279583
row,16384,1,4,310042
col,16384,2,4,310417
row,16384,2,4,321834
col,16384,2,4,305500
row,16384,2,4,348459
col,16384,2,4,380167
row,16384,2,4,327416
col,16384,4,4,399666
row,16384,4,4,346083
col,16384,4,4,349958
row,16384,4,4,312208
col,16384,4,4,349750
row,16384,4,4,306375
col,16384,8,4,613041
