category|count|columns|cmd|pid|time|counter|event
col_all|16777216|3|perf|6905|11691588.989969214:|1|cache-misses:
col_all|16777216|3|perf|6905|11691588.989971535:|1|branch-misses:
col_all|16777216|3|perf|6905|11691588.989982899:|1|cache-misses:
col_all|16777216|3|perf|6905|11691588.989983759:|1|branch-misses:
col_all|16777216|3|perf|6905|11691588.989988372:|36|cache-misses:
col_all|16777216|3|perf|6905|11691588.989989285:|42|branch-misses:
col_all|16777216|3|perf|6905|11691588.989994476:|3837|branch-misses:
col_all|16777216|3|simulation|6905|11691588.990001925:|3201|cache-misses:
col_all|16777216|3|simulation|6905|11691588.990396735:|106285|cache-misses:
col_all|16777216|3|simulation|6905|11691588.990408463:|327736|branch-misses:
col_all|16777216|3|simulation|6905|11691589.021386451:|15421|cache-misses:
col_all|16777216|3|simulation|6905|11691589.023593482:|21208|branch-misses:
col_all|16777216|3|simulation|6905|11691589.027561309:|21282|branch-misses:
col_all|16777216|3|simulation|6905|11691589.031580342:|21257|branch-misses:
col_all|16777216|3|simulation|6905|11691589.035597874:|21200|branch-misses:
col_all|16777216|3|simulation|6905|11691589.039551795:|21309|branch-misses:
col_all|16777216|3|simulation|6905|11691589.043335550:|3427|cache-misses:
col_all|16777216|3|simulation|6905|11691589.043530183:|21361|branch-misses:
col_all|16777216|3|simulation|6905|11691589.047549614:|21320|branch-misses:
col_all|16777216|3|simulation|6905|11691589.048418591:|3058|cache-misses:
col_all|16777216|3|simulation|6905|11691589.051474077:|21474|branch-misses:
col_all|16777216|3|simulation|6905|11691589.052980719:|2893|cache-misses:
col_all|16777216|3|simulation|6905|11691589.055456328:|21530|branch-misses:
col_all|16777216|3|simulation|6905|11691589.057367063:|2804|cache-misses:
col_all|16777216|3|simulation|6905|11691589.059493480:|21455|branch-misses:
col_all|16777216|3|simulation|6905|11691589.061427378:|2769|cache-misses:
col_all|16777216|3|simulation|6905|11691589.063545872:|21331|branch-misses:
col_all|16777216|3|simulation|6905|11691589.065609965:|2735|cache-misses:
col_all|16777216|3|simulation|6905|11691589.067440102:|21571|branch-misses:
col_all|16777216|3|simulation|6905|11691589.069649377:|2721|cache-misses:
col_all|16777216|3|simulation|6905|11691589.071479536:|21491|branch-misses:
col_all|16777216|3|simulation|6905|11691589.073594892:|2703|cache-misses:
col_all|16777216|3|simulation|6905|11691589.075547327:|21351|branch-misses:
col_all|16777216|3|simulation|6905|11691589.077629214:|2692|cache-misses:
col_all|16777216|3|simulation|6905|11691589.079499400:|21438|branch-misses:
col_all|16777216|3|simulation|6905|11691589.081704464:|2724|cache-misses:
col_all|16777216|3|simulation|6905|11691589.083460480:|21542|branch-misses:
col_all|16777216|3|simulation|6905|11691589.085851175:|2706|cache-misses:
col_all|16777216|3|simulation|6905|11691589.087506644:|21441|branch-misses:
col_all|16777216|3|simulation|6905|11691589.089819837:|2704|cache-misses:
col_all|16777216|3|simulation|6905|11691589.091567099:|21319|branch-misses:
col_all|16777216|3|simulation|6905|11691589.093770640:|2698|cache-misses:
col_all|16777216|3|simulation|6905|11691589.095451798:|21566|branch-misses:
col_all|16777216|3|simulation|6905|11691589.097778046:|2700|cache-misses:
col_all|16777216|3|simulation|6905|11691589.099487741:|21504|branch-misses:
col_all|16777216|3|simulation|6905|11691589.101847832:|2686|cache-misses:
col_all|16777216|3|simulation|6905|11691589.103548980:|21379|branch-misses:
col_all|16777216|3|simulation|6905|11691589.105845295:|2684|cache-misses:
col_all|16777216|3|simulation|6905|11691589.107537320:|21383|branch-misses:
col_all|16777216|3|simulation|6905|11691589.109797456:|2693|cache-misses:
col_all|16777216|3|simulation|6905|11691589.111474851:|21534|branch-misses:
col_all|16777216|3|simulation|6905|11691589.113746552:|2703|cache-misses:
col_all|16777216|3|simulation|6905|11691589.115520849:|21435|branch-misses:
col_all|16777216|3|simulation|6905|11691589.117206645:|2871|cache-misses:
col_all|16777216|3|simulation|6905|11691589.119576219:|21328|branch-misses:
col_all|16777216|3|simulation|6905|11691589.121446640:|2800|cache-misses:
col_all|16777216|3|simulation|6905|11691589.123480364:|21514|branch-misses:
col_all|16777216|3|simulation|6905|11691589.125753648:|2744|cache-misses:
col_all|16777216|3|simulation|6905|11691589.127487902:|21530|branch-misses:
col_all|16777216|3|simulation|6905|11691589.129750682:|2720|cache-misses:
col_all|16777216|3|simulation|6905|11691589.131482189:|21406|branch-misses:
col_all|16777216|3|simulation|6905|11691589.133218722:|2912|cache-misses:
col_all|16777216|3|simulation|6905|11691589.134827095:|22686|branch-misses:
col_all|16777216|3|simulation|6905|11691589.136765986:|3020|cache-misses:
col_all|16777216|3|simulation|6905|11691589.138281547:|24159|branch-misses:
col_all|16777216|3|simulation|6905|11691589.140530552:|3110|cache-misses:
col_all|16777216|3|simulation|6905|11691589.142035718:|24709|branch-misses:
col_all|16777216|3|simulation|6905|11691589.144240067:|3176|cache-misses:
col_all|16777216|3|simulation|6905|11691589.145914154:|25019|branch-misses:
col_all|16777216|3|simulation|6905|11691589.148155175:|3208|cache-misses:
col_all|16777216|3|simulation|6905|11691589.149727494:|25489|branch-misses:
col_all|16777216|3|simulation|6905|11691589.152156835:|3222|cache-misses:
col_all|16777216|3|simulation|6905|11691589.153673449:|25662|branch-misses:
col_all|16777216|3|simulation|6905|11691589.156133164:|3224|cache-misses:
col_all|16777216|3|simulation|6905|11691589.157697380:|25595|branch-misses:
col_all|16777216|3|simulation|6905|11691589.160093257:|3234|cache-misses:
col_all|16777216|3|simulation|6905|11691589.161590394:|25864|branch-misses:
col_all|16777216|3|simulation|6905|11691589.164101487:|3226|cache-misses:
col_all|16777216|3|simulation|6905|11691589.165600522:|25875|branch-misses:
col_all|16777216|3|simulation|6905|11691589.168080166:|3227|cache-misses:
col_all|16777216|3|simulation|6905|11691589.169655086:|25680|branch-misses:
col_all|16777216|3|simulation|6905|11691589.172025751:|3270|cache-misses:
col_all|16777216|3|simulation|6905|11691589.173558072:|25943|branch-misses:
col_all|16777216|3|simulation|6905|11691589.175892208:|3274|cache-misses:
col_all|16777216|3|simulation|6905|11691589.177575397:|25918|branch-misses:
col_all|16777216|3|simulation|6905|11691589.179955479:|3293|cache-misses:
col_all|16777216|3|simulation|6905|11691589.181639146:|25738|branch-misses:
col_all|16777216|3|simulation|6905|11691589.184006788:|3279|cache-misses:
col_all|16777216|3|simulation|6905|11691589.185584017:|25878|branch-misses:
col_all|16777216|3|simulation|6905|11691589.187990774:|3279|cache-misses:
col_all|16777216|3|simulation|6905|11691589.189608028:|25842|branch-misses:
col_all|16777216|3|simulation|6905|11691589.191997389:|3267|cache-misses:
