category,count,columns,cmd,pid,time,counter,event,ptr,fun,lib
row,16777216,32,perf,6146,11651603.542207:,1,cache-misses:,ffffffff8d212570,perf_event_addr_filters_exec+0x0,([kernel.kallsyms])
row,16777216,32,perf,6146,11651603.542209:,1,branch-misses:,ffffffff8d212570,perf_event_addr_filters_exec+0x0,([kernel.kallsyms])
row,16777216,32,perf,6146,11651603.542219:,1,cache-misses:,ffffffff8d212570,perf_event_addr_filters_exec+0x0,([kernel.kallsyms])
row,16777216,32,perf,6146,11651603.542220:,1,branch-misses:,ffffffff8d212570,perf_event_addr_filters_exec+0x0,([kernel.kallsyms])
row,16777216,32,perf,6146,11651603.542225:,97,cache-misses:,ffffffff8d212570,perf_event_addr_filters_exec+0x0,([kernel.kallsyms])
row,16777216,32,perf,6146,11651603.542226:,114,branch-misses:,ffffffff8d212570,perf_event_addr_filters_exec+0x0,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.542233:,27378,branch-misses:,ffffffff8d0eaeb0,flush_signal_handlers+0x30,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.542239:,22851,cache-misses:,ffffffff8d5f475f,get_random_u32+0x1f,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.550015:,1557668,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.565188:,99561,cache-misses:,ffffffff8d239b61,get_page_from_freelist+0x881,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.597737:,62405,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.608166:,60517,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.618548:,58625,branch-misses:,43460a,SimulateRowPayloadMerge<unsigned,int>+0x9a,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.628251:,59909,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.631654:,2237,cache-misses:,ffffffff8d4bf2ad,__list_del_entry_valid+0x3d,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.638186:,60123,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.641351:,2377,cache-misses:,ffffffff8d2ce46f,mem_cgroup_try_charge+0xf,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.648208:,60065,branch-misses:,434611,SimulateRowPayloadMerge<unsigned,int>+0xa1,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.651731:,2252,cache-misses:,ffffffff8d2719f7,__handle_mm_fault+0x997,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.658207:,60057,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.661131:,2370,cache-misses:,ffffffff8d2ce471,mem_cgroup_try_charge+0x11,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.668237:,59885,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.670585:,2475,cache-misses:,ffffffff8d2a1e7d,alloc_pages_vma+0x7d,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.678163:,60251,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.680553:,2499,cache-misses:,ffffffff8d239b61,get_page_from_freelist+0x881,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.688070:,60695,branch-misses:,434611,SimulateRowPayloadMerge<unsigned,int>+0xa1,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.691355:,2320,cache-misses:,ffffffff8d97bbf7,clear_page_erms+0x7,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.698179:,60447,branch-misses:,43461f,SimulateRowPayloadMerge<unsigned,int>+0xaf,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.700840:,2368,cache-misses:,ffffffff8d4bf2ad,__list_del_entry_valid+0x3d,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.708112:,60758,branch-misses:,43461f,SimulateRowPayloadMerge<unsigned,int>+0xaf,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.710919:,2349,cache-misses:,ffffffff8d239b61,get_page_from_freelist+0x881,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.718022:,61158,branch-misses:,43460a,SimulateRowPayloadMerge<unsigned,int>+0x9a,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.720774:,2364,cache-misses:,ffffffff8d239ae3,get_page_from_freelist+0x803,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.727966:,61422,branch-misses:,43460a,SimulateRowPayloadMerge<unsigned,int>+0x9a,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.730700:,2364,cache-misses:,ffffffff8d2ce467,mem_cgroup_try_charge+0x7,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651603.738048:,61070,branch-misses:,43461b,SimulateRowPayloadMerge<unsigned,int>+0xab,(/experiments/sorting_simulation/simulation)
row,16777216,32,simulation,6146,11651603.739533:,2366,cache-misses:,ffffffff8d9798f0,xas_load+0x0,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651605.740318:,2366,cache-misses:,ffffffff8d97bbf7,clear_page_erms+0x7,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651605.742286:,6772,cache-misses:,ffffffff8d239b66,get_page_from_freelist+0x886,([kernel.kallsyms])
row,16777216,32,simulation,6146,11651605.748462:,10695,cache-misses:,ffffffff8d97bbf7,clear_page_erms+0x7,([kernel.kallsyms])
