category|count|columns|cmd|pid|time|counter|event
row|16777216|32|perf|6989|11691731.999349716:|1|cache-misses:
row|16777216|32|perf|6989|11691731.999351657:|1|branch-misses:
row|16777216|32|perf|6989|11691731.999360954:|1|cache-misses:
row|16777216|32|perf|6989|11691731.999361581:|1|branch-misses:
row|16777216|32|perf|6989|11691731.999365000:|42|cache-misses:
row|16777216|32|perf|6989|11691731.999365648:|51|branch-misses:
row|16777216|32|perf|6989|11691731.999369517:|6307|branch-misses:
row|16777216|32|simulation|6989|11691731.999374580:|5113|cache-misses:
row|16777216|32|simulation|6989|11691731.999835001:|238111|cache-misses:
row|16777216|32|simulation|6989|11691731.999903803:|720936|branch-misses:
row|16777216|32|simulation|6989|11691732.051001178:|23159|cache-misses:
row|16777216|32|simulation|6989|11691732.054700452:|23870|cache-misses:
row|16777216|32|simulation|6989|11691732.058419621:|24394|cache-misses:
row|16777216|32|simulation|6989|11691732.061871056:|25794|cache-misses:
row|16777216|32|simulation|6989|11691732.065238130:|27263|cache-misses:
row|16777216|32|simulation|6989|11691732.068512221:|29709|cache-misses:
row|16777216|32|simulation|6989|11691732.071808412:|31765|cache-misses:
row|16777216|32|simulation|6989|11691732.073442569:|326|branch-misses:
row|16777216|32|simulation|6989|11691732.075149478:|33715|cache-misses:
row|16777216|32|simulation|6989|11691732.078458953:|36550|cache-misses:
row|16777216|32|simulation|6989|11691732.078461674:|277|branch-misses:
row|16777216|32|simulation|6989|11691732.081941413:|38298|cache-misses:
row|16777216|32|simulation|6989|11691732.083781229:|254|branch-misses:
row|16777216|32|simulation|6989|11691732.085440988:|39989|cache-misses:
row|16777216|32|simulation|6989|11691732.088123021:|253|branch-misses:
row|16777216|32|simulation|6989|11691732.088987867:|42015|cache-misses:
row|16777216|32|simulation|6989|11691732.092441981:|248|branch-misses:
row|16777216|32|simulation|6989|11691732.092593737:|43915|cache-misses:
row|16777216|32|simulation|6989|11691732.096243051:|45184|cache-misses:
row|16777216|32|simulation|6989|11691732.096243555:|253|branch-misses:
row|16777216|32|simulation|6989|11691732.099904147:|46955|cache-misses:
row|16777216|32|simulation|6989|11691732.100873336:|239|branch-misses:
row|16777216|32|simulation|6989|11691732.103568082:|48677|cache-misses:
row|16777216|32|simulation|6989|11691732.104751912:|243|branch-misses:
row|16777216|32|simulation|6989|11691732.107288732:|49791|cache-misses:
row|16777216|32|simulation|6989|11691732.108615854:|247|branch-misses:
row|16777216|32|simulation|6989|11691732.110963373:|51532|cache-misses:
row|16777216|32|simulation|6989|11691732.112442036:|258|branch-misses:
row|16777216|32|simulation|6989|11691732.114671057:|53207|cache-misses:
row|16777216|32|simulation|6989|11691732.116441647:|260|branch-misses:
row|16777216|32|simulation|6989|11691732.118434725:|54237|cache-misses:
row|16777216|32|simulation|6989|11691732.120913811:|247|branch-misses:
row|16777216|32|simulation|6989|11691732.122246620:|55362|cache-misses:
row|16777216|32|simulation|6989|11691732.125138836:|250|branch-misses:
row|16777216|32|simulation|6989|11691732.126029496:|56419|cache-misses:
row|16777216|32|simulation|6989|11691732.127661682:|283|branch-misses:
row|16777216|32|simulation|6989|11691732.129870153:|57538|cache-misses:
row|16777216|32|simulation|6989|11691732.132441418:|275|branch-misses:
row|16777216|32|simulation|6989|11691732.133466181:|60145|cache-misses:
row|16777216|32|simulation|6989|11691732.136330882:|273|branch-misses:
row|16777216|32|simulation|6989|11691732.137090261:|62136|cache-misses:
row|16777216|32|simulation|6989|11691732.139650922:|285|branch-misses:
row|16777216|32|simulation|6989|11691732.140792156:|64195|cache-misses:
row|16777216|32|simulation|6989|11691732.143873332:|286|branch-misses:
row|16777216|32|simulation|6989|11691732.144543198:|65969|cache-misses:
row|16777216|32|simulation|6989|11691732.147859763:|288|branch-misses:
row|16777216|32|simulation|6989|11691732.148347379:|66993|cache-misses:
row|16777216|32|simulation|6989|11691732.151806484:|290|branch-misses:
row|16777216|32|simulation|6989|11691732.152176185:|68253|cache-misses:
row|16777216|32|simulation|6989|11691732.156053559:|69153|cache-misses:
row|16777216|32|simulation|6989|11691732.156056199:|284|branch-misses:
row|16777216|32|simulation|6989|11691732.159877660:|289|branch-misses:
row|16777216|32|simulation|6989|11691732.159934669:|70003|cache-misses:
row|16777216|32|simulation|6989|11691732.162451577:|292|branch-misses:
row|16777216|32|simulation|6989|11691732.163822591:|70713|cache-misses:
row|16777216|32|simulation|6989|11691732.166090528:|346|branch-misses:
row|16777216|32|simulation|6989|11691732.167614868:|72359|cache-misses:
row|16777216|32|simulation|6989|11691732.171060141:|316|branch-misses:
row|16777216|32|simulation|6989|11691732.171502402:|73237|cache-misses:
row|16777216|32|simulation|6989|11691732.175097484:|316|branch-misses:
row|16777216|32|simulation|6989|11691732.175405194:|73781|cache-misses:
row|16777216|32|simulation|6989|11691732.179254907:|316|branch-misses:
row|16777216|32|simulation|6989|11691732.179348585:|74284|cache-misses:
row|16777216|32|simulation|6989|11691732.183296822:|74721|cache-misses:
row|16777216|32|simulation|6989|11691732.183356389:|313|branch-misses:
row|16777216|32|simulation|6989|11691732.187256825:|75011|cache-misses:
row|16777216|32|simulation|6989|11691732.187774858:|296|branch-misses:
row|16777216|32|simulation|6989|11691732.191187546:|75484|cache-misses:
row|16777216|32|simulation|6989|11691732.191441016:|308|branch-misses:
row|16777216|32|simulation|6989|11691732.195128900:|75945|cache-misses:
row|16777216|32|simulation|6989|11691732.195441840:|310|branch-misses:
row|16777216|32|simulation|6989|11691732.199049196:|76570|cache-misses:
row|16777216|32|simulation|6989|11691732.199442795:|310|branch-misses:
row|16777216|32|simulation|6989|11691732.202986618:|77212|cache-misses:
row|16777216|32|simulation|6989|11691732.203063619:|325|branch-misses:
row|16777216|32|simulation|6989|11691732.206893708:|77798|cache-misses:
row|16777216|32|simulation|6989|11691732.207441994:|314|branch-misses:
row|16777216|32|simulation|6989|11691732.210798348:|78570|cache-misses:
row|16777216|32|simulation|6989|11691732.211440766:|316|branch-misses:
row|16777216|32|simulation|6989|11691732.214733428:|79154|cache-misses:
row|16777216|32|simulation|6989|11691732.215487019:|311|branch-misses:
row|16777216|32|simulation|6989|11691732.218718595:|79263|cache-misses:
row|16777216|32|simulation|6989|11691732.219441254:|317|branch-misses:
row|16777216|32|simulation|6989|11691732.222681229:|79617|cache-misses:
row|16777216|32|simulation|6989|11691732.223440660:|317|branch-misses:
row|16777216|32|simulation|6989|11691732.226648019:|79921|cache-misses:
row|16777216|32|simulation|6989|11691732.227441970:|322|branch-misses:
row|16777216|32|simulation|6989|11691732.230587675:|80422|cache-misses:
row|16777216|32|simulation|6989|11691732.231199615:|320|branch-misses:
row|16777216|32|simulation|6989|11691732.234549830:|80755|cache-misses:
row|16777216|32|simulation|6989|11691732.234993038:|340|branch-misses:
row|16777216|32|simulation|6989|11691732.238511138:|81072|cache-misses:
