category,count,columns,distribution,time,event,counter
pdq_static,16777216,4,correlated0.9,92121.571634,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.571936,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.572584,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.573492,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.574377,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.575255,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.576123,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.577000,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.577873,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.578742,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.579614,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.580491,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.581370,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.582241,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.583124,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.584002,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.584863,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.585486,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.585575,branch-misses,20000
pdq_static,16777216,4,correlated0.9,92121.586114,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.586740,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.587366,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.587993,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.588622,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.589252,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.589882,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.590509,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.591139,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.591765,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.592396,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.593022,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.593647,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.594275,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.594901,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.595382,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.595866,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.596348,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.596828,L1-dcache-load-misses,20000
pdq_static,16777216,4,correlated0.9,92121.597305,L1-dcache-load-misses,20000
