category,count,columns,distribution,time,event,counter
pdq_static,16777216,4,random,98569.550138,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.550440,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.551067,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.551934,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.552806,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.553680,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.554564,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.555436,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.556311,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.557171,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.558054,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.558863,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.559597,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.560326,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.561058,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.561785,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.562521,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.563260,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.563999,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.564645,branch-misses,20000
pdq_static,16777216,4,random,98569.564722,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.565453,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.566207,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.566948,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.567686,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.568430,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.568993,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.569548,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.570102,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.570654,L1-dcache-load-misses,20000
