category,count,columns,col_width,total,reorder,scatter,gather
col,1024,1,4,1125,1125,0,0
row,1024,1,4,28292,3500,1500,23292
col,1024,1,4,1042,1042,0,0
row,1024,1,4,5750,3417,1250,1083
col,1024,1,4,1125,1125,0,0
row,1024,1,4,5584,3333,1167,1084
col,1024,2,4,4625,4625,0,0
row,1024,2,4,8250,3583,2417,2250
col,1024,2,4,2083,2083,0,0
row,1024,2,4,8041,3500,2291,2250
col,1024,2,4,2000,2000,0,0
row,1024,2,4,7625,3417,2208,2000
col,1024,4,4,6541,6541,0,0
row,1024,4,4,14000,5542,4166,4292
col,1024,4,4,4000,4000,0,0
row,1024,4,4,11708,3500,4083,4125
col,1024,4,4,4000,4000,0,0
row,1024,4,4,11459,3417,4042,4000
col,1024,8,4,10083,10083,0,0
row,1024,8,4,24583,8666,7875,8042
col,1024,8,4,7875,7875,0,0
row,1024,8,4,20167,4375,7875,7917
col,1024,8,4,7791,7791,0,0
row,1024,8,4,19833,4125,7833,7875
col,1024,16,4,19667,19667,0,0
row,1024,16,4,68000,12375,38875,16750
col,1024,16,4,15667,15667,0,0
row,1024,16,4,36125,4000,16000,16125
col,1024,16,4,15708,15708,0,0
row,1024,16,4,35417,3708,15792,15917
col,1024,32,4,50792,50792,0,0
row,1024,32,4,112583,28417,52583,31583
col,1024,32,4,30834,30834,0,0
row,1024,32,4,79167,10583,37042,31542
col,1024,32,4,30958,30958,0,0
row,1024,32,4,79125,10459,37041,31625
col,4096,1,4,3625,3625,0,0
row,4096,1,4,20417,12959,3833,3625
col,4096,1,4,3416,3416,0,0
row,4096,1,4,20417,12917,3750,3750
col,4096,1,4,3375,3375,0,0
row,4096,1,4,20125,12875,3750,3500
col,4096,2,4,6792,6792,0,0
row,4096,2,4,27667,13083,7250,7334
col,4096,2,4,6875,6875,0,0
row,4096,2,4,27667,13042,7333,7292
col,4096,2,4,6834,6834,0,0
row,4096,2,4,27167,12917,7083,7167
col,4096,4,4,13708,13708,0,0
row,4096,4,4,42458,13250,14416,14792
col,4096,4,4,13917,13917,0,0
row,4096,4,4,41709,13000,14125,14584
col,4096,4,4,13958,13958,0,0
row,4096,4,4,41542,13042,13958,14542
col,4096,8,4,31583,31583,0,0
row,4096,8,4,73792,16583,28542,28667
col,4096,8,4,27666,27666,0,0
row,4096,8,4,73209,16250,28417,28542
col,4096,8,4,27750,27750,0,0
row,4096,8,4,73208,16291,28000,28917
col,4096,16,4,92541,92541,0,0
row,4096,16,4,200333,49833,91000,59500
col,4096,16,4,47083,47083,0,0
row,4096,16,4,116500,15958,50250,50292
col,4096,16,4,47083,47083,0,0
row,4096,16,4,116459,15750,50167,50542
col,4096,32,4,161750,161750,0,0
row,4096,32,4,403333,113917,179208,110208
col,4096,32,4,97375,97375,0,0
row,4096,32,4,269666,36750,122291,110625
col,4096,32,4,93750,93750,0,0
row,4096,32,4,270833,37333,122250,111250
col,16384,1,4,12458,12458,0,0
row,16384,1,4,67959,44209,11875,11875
col,16384,1,4,21750,21750,0,0
row,16384,1,4,84125,44583,27042,12500
col,16384,1,4,21708,21708,0,0
row,16384,1,4,67750,44458,11792,11500
col,16384,2,4,44833,44833,0,0
row,16384,2,4,109000,60833,23500,24667
col,16384,2,4,24750,24750,0,0
row,16384,2,4,91542,44000,23417,24125
col,16384,2,4,25334,25334,0,0
row,16384,2,4,92000,43958,23417,24625
col,16384,4,4,64500,64500,0,0
row,16384,4,4,173917,76292,46292,51333
col,16384,4,4,49792,49792,0,0
row,16384,4,4,138625,44125,46375,48125
col,16384,4,4,49125,49125,0,0
row,16384,4,4,139333,44625,46417,48291
col,16384,8,4,130417,130417,0,0
row,16384,8,4,308667,114625,96083,97959
col,16384,8,4,97125,97125,0,0
row,16384,8,4,248750,55208,96167,97375
col,16384,8,4,84750,84750,0,0
row,16384,8,4,216208,48209,83708,84291
col,16384,16,4,228792,228792,0,0
row,16384,16,4,636458,171792,259416,205250
col,16384,16,4,250833,250833,0,0
row,16384,16,4,501875,118791,205167,177917
col,16384,16,4,239958,239958,0,0
row,16384,16,4,504083,122833,203125,178125
col,16384,32,4,587000,587000,0,0
row,16384,32,4,1426791,353959,589041,483791
col,16384,32,4,542833,542833,0,0
row,16384,32,4,1316167,238500,595583,482084
col,16384,32,4,518209,518209,0,0
row,16384,32,4,1305125,239708,584083,481334
col,65536,1,4,67583,67583,0,0
row,65536,1,4,221917,138416,48584,34917
col,65536,1,4,50917,50917,0,0
row,65536,1,4,218000,134875,48417,34708
col,65536,1,4,103375,103375,0,0
row,65536,1,4,211917,141084,35583,35250
col,65536,2,4,178500,178500,0,0
row,65536,2,4,325000,177375,71333,76292
col,65536,2,4,96458,96458,0,0
row,65536,2,4,250833,120334,63666,66833
col,65536,2,4,96916,96916,0,0
row,65536,2,4,253250,120208,63667,69375
col,65536,4,4,226541,226541,0,0
row,65536,4,4,559125,214584,191000,153541
col,65536,4,4,233333,233333,0,0
row,65536,4,4,449583,167542,148833,133208
col,65536,4,4,325334,325334,0,0
row,65536,4,4,530500,183834,186583,160083
col,65536,8,4,549167,549167,0,0
row,65536,8,4,1022875,305625,381125,336125
