category,distribution,count,columns,col_width,total,sort,scatter,gather
radix,random,1024,1,4,28919,16902,7715,4302
pdq_dynamic,random,1024,1,4,100307,93031,3252,4024
pdq_static,random,1024,1,4,42985,37847,1124,4014
radix,random,1024,1,4,24964,19826,1104,4034
pdq_dynamic,random,1024,1,4,96798,91746,1048,4004
pdq_static,random,1024,1,4,41994,36932,1064,3998
radix,random,1024,1,4,20552,15482,1062,4008
pdq_dynamic,random,1024,1,4,97496,92447,1036,4013
pdq_static,random,1024,1,4,39799,34764,1029,4006
radix,random,1024,1,4,20604,15495,1099,4010
pdq_dynamic,random,1024,1,4,96517,91489,1023,4005
pdq_static,random,1024,1,4,39816,34776,1034,4006
radix,random,1024,1,4,20680,15589,1075,4016
pdq_dynamic,random,1024,1,4,96920,91876,1040,4004
pdq_static,random,1024,1,4,39434,34402,1027,4005
radix,uniqueN,1024,1,4,25950,19431,1095,5424
pdq_dynamic,uniqueN,1024,1,4,95697,89255,1027,5415
pdq_static,uniqueN,1024,1,4,35998,29690,1024,5284
radix,uniqueN,1024,1,4,25590,19232,1089,5269
pdq_dynamic,uniqueN,1024,1,4,95929,89518,1030,5381
pdq_static,uniqueN,1024,1,4,36114,29781,1036,5297
radix,uniqueN,1024,1,4,26554,20220,1045,5289
pdq_dynamic,uniqueN,1024,1,4,94692,88304,1064,5324
pdq_static,uniqueN,1024,1,4,35821,29447,1051,5323
radix,uniqueN,1024,1,4,25752,19418,1040,5294
pdq_dynamic,uniqueN,1024,1,4,94153,87760,1056,5337
pdq_static,uniqueN,1024,1,4,36717,30298,1016,5403
radix,uniqueN,1024,1,4,25689,19334,1024,5331
pdq_dynamic,uniqueN,1024,1,4,95575,89170,1023,5382
pdq_static,uniqueN,1024,1,4,35596,29289,1044,5263
radix,powerlaw,1024,1,4,23415,17433,1099,4883
pdq_dynamic,powerlaw,1024,1,4,88299,82382,1060,4857
pdq_static,powerlaw,1024,1,4,27419,21532,1070,4817
radix,powerlaw,1024,1,4,23770,17790,1069,4911
pdq_dynamic,powerlaw,1024,1,4,89480,83566,1048,4866
pdq_static,powerlaw,1024,1,4,26990,21099,1079,4812
radix,powerlaw,1024,1,4,23432,17524,1081,4827
pdq_dynamic,powerlaw,1024,1,4,86936,80985,1067,4884
pdq_static,powerlaw,1024,1,4,26492,20483,1195,4814
radix,powerlaw,1024,1,4,23501,17606,1111,4784
pdq_dynamic,powerlaw,1024,1,4,87917,81943,1107,4867
pdq_static,powerlaw,1024,1,4,27591,21687,1032,4872
radix,powerlaw,1024,1,4,23600,17726,1106,4768
pdq_dynamic,powerlaw,1024,1,4,88551,82706,1075,4770
pdq_static,powerlaw,1024,1,4,26965,21083,1052,4830
radix,random,1024,2,4,58217,51959,1889,4369
pdq_dynamic,random,1024,2,4,116719,110663,1698,4358
pdq_static,random,1024,2,4,47988,41978,1641,4369
radix,random,1024,2,4,39905,33979,1578,4348
pdq_dynamic,random,1024,2,4,112946,107009,1602,4335
pdq_static,random,1024,2,4,47180,41248,1585,4347
radix,random,1024,2,4,41034,35128,1560,4346
pdq_dynamic,random,1024,2,4,111898,105972,1589,4337
pdq_static,random,1024,2,4,45777,39870,1567,4340
radix,random,1024,2,4,39085,33140,1598,4347
pdq_dynamic,random,1024,2,4,111329,105406,1586,4337
pdq_static,random,1024,2,4,46701,40808,1550,4343
radix,random,1024,2,4,40250,34357,1549,4344
pdq_dynamic,random,1024,2,4,112813,106905,1573,4335
pdq_static,random,1024,2,4,45212,39291,1564,4357
radix,uniqueN,1024,2,4,45759,39434,1585,4740
pdq_dynamic,uniqueN,1024,2,4,112168,105937,1613,4618
pdq_static,uniqueN,1024,2,4,45918,39713,1566,4639
radix,uniqueN,1024,2,4,46232,39914,1579,4739
pdq_dynamic,uniqueN,1024,2,4,112503,106213,1588,4702
pdq_static,uniqueN,1024,2,4,46207,39937,1580,4690
radix,uniqueN,1024,2,4,45135,38939,1607,4589
pdq_dynamic,uniqueN,1024,2,4,110457,104226,1605,4626
pdq_static,uniqueN,1024,2,4,45454,39191,1577,4686
radix,uniqueN,1024,2,4,46225,39942,1593,4690
pdq_dynamic,uniqueN,1024,2,4,111389,105015,1606,4768
pdq_static,uniqueN,1024,2,4,47411,41157,1569,4685
radix,uniqueN,1024,2,4,45067,38758,1613,4696
pdq_dynamic,uniqueN,1024,2,4,113470,107257,1596,4617
pdq_static,uniqueN,1024,2,4,46552,40393,1561,4598
radix,powerlaw,1024,2,4,71093,62184,1541,7368
pdq_dynamic,powerlaw,1024,2,4,113785,105215,1598,6972
pdq_static,powerlaw,1024,2,4,48511,39897,1601,7013
radix,powerlaw,1024,2,4,67551,58985,1562,7004
pdq_dynamic,powerlaw,1024,2,4,119821,111151,1639,7031
pdq_static,powerlaw,1024,2,4,48572,39857,1630,7085
radix,powerlaw,1024,2,4,66321,57786,1576,6959
pdq_dynamic,powerlaw,1024,2,4,114485,105778,1625,7082
pdq_static,powerlaw,1024,2,4,48533,39901,1579,7053
radix,powerlaw,1024,2,4,66403,57757,1601,7045
pdq_dynamic,powerlaw,1024,2,4,115532,106901,1589,7042
pdq_static,powerlaw,1024,2,4,49165,40499,1608,7058
radix,powerlaw,1024,2,4,68405,59816,1558,7031
pdq_dynamic,powerlaw,1024,2,4,114867,106403,1610,6854
pdq_static,powerlaw,1024,2,4,48538,39983,1630,6925
radix,random,1024,3,4,45484,38981,2145,4358
pdq_dynamic,random,1024,3,4,111664,105145,2167,4352
pdq_static,random,1024,3,4,46775,40220,2201,4354
radix,random,1024,3,4,41576,35097,2133,4346
pdq_dynamic,random,1024,3,4,112948,106422,2172,4354
pdq_static,random,1024,3,4,44279,37773,2170,4336
radix,random,1024,3,4,41457,34966,2145,4346
pdq_dynamic,random,1024,3,4,111890,105400,2136,4354
pdq_static,random,1024,3,4,44012,37575,2110,4327
radix,random,1024,3,4,41101,34675,2079,4347
pdq_dynamic,random,1024,3,4,110329,103845,2131,4353
pdq_static,random,1024,3,4,44706,38195,2169,4342
radix,random,1024,3,4,40807,34334,2129,4344
pdq_dynamic,random,1024,3,4,110942,104415,2177,4350
pdq_static,random,1024,3,4,44303,37815,2148,4340
radix,uniqueN,1024,3,4,46627,39773,2071,4783
pdq_dynamic,uniqueN,1024,3,4,111664,104857,2143,4664
pdq_static,uniqueN,1024,3,4,44807,38090,2185,4532
radix,uniqueN,1024,3,4,45725,38921,2109,4695
pdq_dynamic,uniqueN,1024,3,4,113007,106224,2174,4609
pdq_static,uniqueN,1024,3,4,45198,38299,2172,4727
radix,uniqueN,1024,3,4,46053,39277,2126,4650
pdq_dynamic,uniqueN,1024,3,4,112108,105369,2110,4629
pdq_static,uniqueN,1024,3,4,45323,38578,2154,4591
radix,uniqueN,1024,3,4,45674,38880,2102,4692
pdq_dynamic,uniqueN,1024,3,4,118952,112061,2145,4746
pdq_static,uniqueN,1024,3,4,45635,38803,2140,4692
radix,uniqueN,1024,3,4,47428,40693,2105,4630
pdq_dynamic,uniqueN,1024,3,4,111425,104632,2131,4662
pdq_static,uniqueN,1024,3,4,45650,38924,2122,4604
radix,powerlaw,1024,3,4,75106,65877,2109,7120
pdq_dynamic,powerlaw,1024,3,4,115529,106463,2170,6896
pdq_static,powerlaw,1024,3,4,49424,40208,2151,7065
radix,powerlaw,1024,3,4,69694,60607,2061,7026
pdq_dynamic,powerlaw,1024,3,4,117473,108034,2089,7350
pdq_static,powerlaw,1024,3,4,51590,41914,2191,7485
radix,powerlaw,1024,3,4,70320,61120,2140,7060
pdq_dynamic,powerlaw,1024,3,4,116304,107075,2209,7020
pdq_static,powerlaw,1024,3,4,49937,40721,2185,7031
radix,powerlaw,1024,3,4,68325,59023,2090,7212
pdq_dynamic,powerlaw,1024,3,4,115145,105910,2169,7066
pdq_static,powerlaw,1024,3,4,51098,41525,2195,7378
