category,count,columns,row_id_width,col_width,total,sort,scatter,gather
rad,1024,1,4,4,66833,51042,14625,1166
std,1024,1,4,4,89500,76750,11750,1000
rad,1024,1,4,4,60208,47334,11791,1083
std,1024,1,4,4,87291,74750,11541,1000
rad,1024,1,4,4,59917,47000,11792,1125
std,1024,1,4,4,88500,76042,11500,958
rad,1024,2,4,4,149750,135375,13333,1042
std,1024,2,4,4,123458,109375,13041,1042
rad,1024,2,4,4,141375,126958,13250,1167
std,1024,2,4,4,96875,82916,13000,959
rad,1024,2,4,4,140833,126542,13208,1083
std,1024,2,4,4,97750,83792,13000,958
rad,1024,3,4,4,134708,118708,14875,1125
std,1024,3,4,4,90166,74542,14833,791
rad,1024,3,4,4,100375,87375,12084,916
std,1024,3,4,4,77500,63667,13000,833
rad,1024,3,4,4,101625,88500,12208,917
std,1024,3,4,4,76083,63375,11916,792
rad,1024,4,4,4,133333,118875,13500,958
std,1024,4,4,4,82250,68083,13334,833
rad,1024,4,4,4,125041,110500,13583,958
std,1024,4,4,4,81000,66917,13250,833
rad,1024,4,4,4,124958,110625,13375,958
std,1024,4,4,4,81167,67083,13292,792
rad,1024,5,4,4,106375,90750,14625,1000
std,1024,5,4,4,109416,94125,14416,875
rad,1024,5,4,4,228667,189167,14750,24750
std,1024,5,4,4,172334,138916,31709,1709
rad,1024,5,4,4,190958,164417,24833,1708
std,1024,5,4,4,158083,132125,24292,1666
rad,1024,6,4,4,232583,204292,26166,2125
std,1024,6,4,4,162875,135375,25875,1625
rad,1024,6,4,4,173917,152292,20250,1375
std,1024,6,4,4,128833,107292,20250,1291
rad,1024,6,4,4,175959,154208,20459,1292
std,1024,6,4,4,127958,106625,20083,1250
rad,1024,7,4,4,153500,130708,21542,1250
std,1024,7,4,4,133250,110667,21375,1208
rad,1024,7,4,4,153042,130375,21417,1250
std,1024,7,4,4,124333,101750,21375,1208
rad,1024,7,4,4,154958,132250,21500,1208
std,1024,7,4,4,126291,103667,21458,1166
rad,1024,8,4,4,217375,166375,49042,1958
std,1024,8,4,4,167791,143542,22916,1333
rad,1024,8,4,4,186375,161917,22958,1500
std,1024,8,4,4,132000,108208,22584,1208
rad,1024,8,4,4,181833,157666,22875,1292
std,1024,8,4,4,133208,108292,23625,1291
rad,4096,1,4,4,241000,183958,52792,4250
std,4096,1,4,4,534250,477834,52250,4166
rad,4096,1,4,4,239209,182250,52667,4292
