category,count,columns,col_width,total,sort,scatter,gather
radix,1024,1,4,31496,18746,9271,3479
pdq_static,1024,1,4,46994,40488,3458,3048
radix,1024,1,4,22936,18692,1180,3064
pdq_static,1024,1,4,42632,38578,1023,3031
radix,1024,1,4,19092,14966,1088,3038
pdq_static,1024,1,4,43274,39160,1078,3036
radix,1024,1,4,18427,14292,1110,3025
pdq_static,1024,1,4,42132,38022,1072,3038
radix,1024,1,4,18417,14318,1074,3025
pdq_static,1024,1,4,41714,37656,1035,3023
radix,1024,2,4,54991,49252,2288,3451
pdq_static,1024,2,4,45260,40152,1700,3408
radix,1024,2,4,37197,32179,1622,3396
pdq_static,1024,2,4,43209,38225,1600,3384
radix,1024,2,4,36994,31991,1602,3401
pdq_static,1024,2,4,44418,39483,1583,3352
radix,1024,2,4,36983,31972,1613,3398
pdq_static,1024,2,4,43905,38939,1588,3378
radix,1024,2,4,36832,31857,1574,3401
pdq_static,1024,2,4,43492,38550,1554,3388
radix,1024,3,4,48196,42568,2236,3392
pdq_static,1024,3,4,50862,45321,2153,3388
radix,1024,3,4,38661,33148,2132,3381
pdq_static,1024,3,4,45909,40420,2116,3373
radix,1024,3,4,37950,32509,2060,3381
pdq_static,1024,3,4,43746,38188,2165,3393
radix,1024,3,4,38805,33315,2110,3380
pdq_static,1024,3,4,43595,38106,2100,3389
radix,1024,3,4,38180,32703,2099,3378
pdq_static,1024,3,4,43282,37785,2100,3397
radix,1024,4,4,47961,41687,2826,3448
pdq_static,1024,4,4,50150,44101,2681,3368
radix,1024,4,4,40031,34076,2571,3384
pdq_static,1024,4,4,46825,40824,2654,3347
radix,1024,4,4,40989,34991,2613,3385
pdq_static,1024,4,4,46830,40802,2667,3361
radix,1024,4,4,40793,34818,2592,3383
pdq_static,1024,4,4,46835,40875,2611,3349
radix,1024,4,4,40337,34323,2628,3386
pdq_static,1024,4,4,45947,40012,2582,3353
radix,1024,5,4,51739,45151,3186,3402
pdq_static,1024,5,4,77174,70581,3200,3393
radix,1024,5,4,44040,37454,3206,3380
pdq_static,1024,5,4,74937,68343,3213,3381
radix,1024,5,4,44524,38040,3112,3372
pdq_static,1024,5,4,75847,69277,3189,3381
radix,1024,5,4,43720,37139,3201,3380
pdq_static,1024,5,4,76410,69968,3062,3380
radix,1024,5,4,43650,37156,3112,3382
pdq_static,1024,5,4,74798,68290,3150,3358
radix,1024,6,4,55921,48592,3938,3391
pdq_static,1024,6,4,80752,73540,3866,3346
radix,1024,6,4,47902,40556,3970,3376
pdq_static,1024,6,4,78535,71225,3971,3339
radix,1024,6,4,47110,39853,3896,3361
pdq_static,1024,6,4,79315,72057,3910,3348
radix,1024,6,4,48487,41133,3981,3373
pdq_static,1024,6,4,77692,70348,3996,3348
radix,1024,6,4,48011,40671,3969,3371
pdq_static,1024,6,4,77238,70007,3886,3345
radix,1024,7,4,62175,52650,6136,3389
pdq_static,1024,7,4,84595,74986,6232,3377
radix,1024,7,4,54699,45137,6189,3373
pdq_static,1024,7,4,77149,67649,6109,3391
radix,1024,7,4,54439,44950,6096,3393
pdq_static,1024,7,4,79780,70222,6179,3379
radix,1024,7,4,53710,44077,6268,3365
pdq_static,1024,7,4,78564,69043,6132,3389
radix,1024,7,4,53713,44242,6098,3373
pdq_static,1024,7,4,78185,68745,6071,3369
radix,4096,1,4,76400,60674,3739,11987
pdq_static,4096,1,4,183399,167757,3661,11981
radix,4096,1,4,75393,59727,3722,11944
pdq_static,4096,1,4,181421,165789,3676,11956
radix,4096,1,4,75217,59584,3668,11965
pdq_static,4096,1,4,181227,165651,3612,11964
radix,4096,1,4,74634,58986,3683,11965
pdq_static,4096,1,4,181393,165790,3638,11965
radix,4096,1,4,74509,58889,3677,11943
pdq_static,4096,1,4,180723,165183,3580,11960
radix,4096,2,4,207683,186892,7462,13329
pdq_static,4096,2,4,191341,172364,5629,13348
radix,4096,2,4,203632,184598,5708,13326
pdq_static,4096,2,4,188804,169903,5591,13310
radix,4096,2,4,202162,183236,5600,13326
pdq_static,4096,2,4,189496,170567,5609,13320
radix,4096,2,4,201361,182438,5607,13316
pdq_static,4096,2,4,188173,169250,5622,13301
radix,4096,2,4,218234,199412,5514,13308
pdq_static,4096,2,4,188301,169481,5506,13314
radix,4096,3,4,221675,191205,17096,13374
pdq_static,4096,3,4,191453,170676,7445,13332
radix,4096,3,4,208022,187138,7547,13337
pdq_static,4096,3,4,191961,171070,7547,13344
radix,4096,3,4,210518,189658,7532,13328
pdq_static,4096,3,4,191435,170520,7579,13336
radix,4096,3,4,205955,184996,7608,13351
pdq_static,4096,3,4,195283,174445,7529,13309
radix,4096,3,4,215942,195066,7528,13348
pdq_static,4096,3,4,192090,171213,7553,13324
radix,4096,4,4,237665,198731,25623,13311
pdq_static,4096,4,4,217114,182838,20984,13292
radix,4096,4,4,231466,196844,21312,13310
pdq_static,4096,4,4,216709,182848,20562,13299
radix,4096,4,4,228604,194328,20964,13312
pdq_static,4096,4,4,215124,181233,20597,13294
radix,4096,4,4,229785,195918,20561,13306
pdq_static,4096,4,4,215310,181455,20561,13294
radix,4096,4,4,227712,193802,20621,13289
pdq_static,4096,4,4,213598,179704,20605,13289
radix,4096,5,4,277364,225213,38869,13282
pdq_static,4096,5,4,363949,316999,33579,13371
radix,4096,5,4,271886,224807,33797,13282
pdq_static,4096,5,4,351927,304969,33674,13284
radix,4096,5,4,268382,221407,33706,13269
pdq_static,4096,5,4,349134,302484,33382,13268
radix,4096,5,4,268744,222038,33436,13270
pdq_static,4096,5,4,363381,316695,33394,13292
radix,4096,5,4,270847,224022,33555,13270
pdq_static,4096,5,4,354948,308464,33191,13293
radix,4096,6,4,307146,241485,52377,13284
pdq_static,4096,6,4,385451,324870,47319,13262
radix,4096,6,4,300499,240219,47012,13268
pdq_static,4096,6,4,383880,323649,46971,13260
radix,4096,6,4,309230,249039,46903,13288
pdq_static,4096,6,4,383769,323502,47018,13249
radix,4096,6,4,300153,240010,46875,13268
pdq_static,4096,6,4,374393,314222,46912,13259
radix,4096,6,4,297333,237248,46822,13263
pdq_static,4096,6,4,377350,317304,46777,13269
radix,4096,7,4,322694,235026,74399,13269
pdq_static,4096,7,4,396636,318330,65020,13286
radix,4096,7,4,306756,228040,65438,13278
pdq_static,4096,7,4,388447,309911,65238,13298
radix,4096,7,4,301604,223200,65126,13278
pdq_static,4096,7,4,385816,307373,65177,13266
radix,4096,7,4,302131,223780,65082,13269
pdq_static,4096,7,4,385387,307005,65102,13280
radix,4096,7,4,304173,225563,65311,13299
pdq_static,4096,7,4,385914,307676,64957,13281
radix,16384,1,4,336293,232511,56063,47719
pdq_static,16384,1,4,825853,722456,55755,47642
radix,16384,1,4,336441,232112,56687,47642
pdq_static,16384,1,4,833793,720999,56004,56790
radix,16384,1,4,337385,232900,56786,47699
pdq_static,16384,1,4,828238,724726,55849,47663
radix,16384,1,4,337270,232840,56759,47671
pdq_static,16384,1,4,817689,714145,55898,47646
radix,16384,1,4,335764,231382,56690,47692
pdq_static,16384,1,4,833139,729441,56040,47658
radix,16384,2,4,683229,507447,122645,53137
pdq_static,16384,2,4,891126,751562,86623,52941
radix,16384,2,4,543005,403370,86650,52985
pdq_static,16384,2,4,893583,755793,84843,52947
radix,16384,2,4,537248,398425,85847,52976
pdq_static,16384,2,4,889888,752102,84852,52934
radix,16384,2,4,549537,402738,93841,52958
pdq_static,16384,2,4,897019,758278,85774,52967
radix,16384,2,4,540773,402085,85707,52981
pdq_static,16384,2,4,883574,745763,84861,52950
radix,16384,3,4,576858,401488,122296,53074
pdq_static,16384,3,4,910499,744207,113291,53001
radix,16384,3,4,557100,389372,114775,52953
pdq_static,16384,3,4,919277,751572,114688,53017
radix,16384,3,4,556848,388511,115390,52947
pdq_static,16384,3,4,916373,748848,114510,53015
radix,16384,3,4,557234,389692,114508,53034
pdq_static,16384,3,4,927228,747197,126884,53147
radix,16384,3,4,560349,392328,114927,53094
pdq_static,16384,3,4,917099,749355,114598,53146
radix,16384,4,4,663595,418441,186825,58329
pdq_static,16384,4,4,1000975,805382,142667,52926
radix,16384,4,4,619144,421757,144377,53010
pdq_static,16384,4,4,990541,792955,144617,52969
radix,16384,4,4,616311,417818,145492,53001
pdq_static,16384,4,4,1002522,795542,143296,63684
radix,16384,4,4,618306,420231,145086,52989
pdq_static,16384,4,4,992109,795840,143341,52928
radix,16384,4,4,624925,427839,144092,52994
pdq_static,16384,4,4,995717,798667,144139,52911
radix,16384,5,4,692442,431753,207714,52975
pdq_static,16384,5,4,1625989,1391318,181714,52957
radix,16384,5,4,657615,427273,177350,52992
pdq_static,16384,5,4,1601948,1370984,178030,52934
radix,16384,5,4,656672,427935,175604,53133
pdq_static,16384,5,4,1619046,1375482,190603,52961
radix,16384,5,4,656222,428707,174568,52947
