category,distribution,count,columns,col_width,total,sort,scatter,gather
radix,random,4096,1,4,91133,70871,5236,15026
pdq_dynamic,random,4096,1,4,326967,308130,3425,15412
pdq_static,random,4096,1,4,185287,166221,3649,15417
radix,random,4096,1,4,75039,56029,3584,15426
pdq_dynamic,random,4096,1,4,318981,300023,3548,15410
pdq_static,random,4096,1,4,180836,161856,3556,15424
radix,random,4096,1,4,77034,56775,3549,16710
pdq_dynamic,random,4096,1,4,316945,297960,3566,15419
pdq_static,random,4096,1,4,185809,166796,3585,15428
radix,random,4096,1,4,75218,56213,3573,15432
pdq_dynamic,random,4096,1,4,310852,291887,3557,15408
pdq_static,random,4096,1,4,180871,161963,3508,15400
radix,random,4096,1,4,76225,57231,3562,15432
pdq_dynamic,random,4096,1,4,312848,293876,3564,15408
pdq_static,random,4096,1,4,181878,162916,3566,15396
radix,powerlaw,4096,1,4,89821,69920,3559,16342
pdq_dynamic,powerlaw,4096,1,4,199612,179754,3499,16359
pdq_static,powerlaw,4096,1,4,82356,62462,3538,16356
radix,powerlaw,4096,1,4,90067,70322,3499,16246
pdq_dynamic,powerlaw,4096,1,4,200651,180810,3498,16343
pdq_static,powerlaw,4096,1,4,86069,66254,3540,16275
radix,powerlaw,4096,1,4,91141,71239,3529,16373
pdq_dynamic,powerlaw,4096,1,4,198153,178314,3482,16357
pdq_static,powerlaw,4096,1,4,82621,62745,3533,16343
radix,powerlaw,4096,1,4,89113,69245,3576,16292
pdq_dynamic,powerlaw,4096,1,4,202737,182826,3502,16409
pdq_static,powerlaw,4096,1,4,81833,62022,3540,16271
radix,powerlaw,4096,1,4,89962,70102,3513,16347
pdq_dynamic,powerlaw,4096,1,4,202882,183026,3511,16345
pdq_static,powerlaw,4096,1,4,82789,62850,3576,16363
radix,correlated0.1,4096,1,4,86160,65949,3542,16669
pdq_dynamic,correlated0.1,4096,1,4,235040,214883,3490,16667
pdq_static,correlated0.1,4096,1,4,98159,78425,3573,16161
radix,correlated0.1,4096,1,4,84136,64497,3468,16171
pdq_dynamic,correlated0.1,4096,1,4,231705,212138,3435,16132
pdq_static,correlated0.1,4096,1,4,97954,78354,3441,16159
radix,correlated0.1,4096,1,4,83666,64076,3427,16163
pdq_dynamic,correlated0.1,4096,1,4,229932,210389,3404,16139
pdq_static,correlated0.1,4096,1,4,100637,81055,3434,16148
radix,correlated0.1,4096,1,4,84230,64660,3411,16159
pdq_dynamic,correlated0.1,4096,1,4,222787,203210,3426,16151
pdq_static,correlated0.1,4096,1,4,98945,79346,3439,16160
radix,correlated0.1,4096,1,4,85428,65802,3468,16158
pdq_dynamic,correlated0.1,4096,1,4,230075,210514,3435,16126
pdq_static,correlated0.1,4096,1,4,120017,99909,3456,16652
radix,correlated0.5,4096,1,4,87670,67432,3582,16656
pdq_dynamic,correlated0.5,4096,1,4,234457,214286,3519,16652
pdq_static,correlated0.5,4096,1,4,102022,81837,3543,16642
radix,correlated0.5,4096,1,4,87092,66851,3597,16644
pdq_dynamic,correlated0.5,4096,1,4,234639,214479,3533,16627
pdq_static,correlated0.5,4096,1,4,100220,79984,3591,16645
radix,correlated0.5,4096,1,4,83363,63730,3497,16136
pdq_dynamic,correlated0.5,4096,1,4,225468,205915,3416,16137
pdq_static,correlated0.5,4096,1,4,97024,77340,3497,16187
radix,correlated0.5,4096,1,4,83303,63717,3444,16142
pdq_dynamic,correlated0.5,4096,1,4,231905,212308,3432,16165
pdq_static,correlated0.5,4096,1,4,97606,77941,3487,16178
radix,correlated0.5,4096,1,4,83637,64027,3434,16176
pdq_dynamic,correlated0.5,4096,1,4,236655,217083,3404,16168
pdq_static,correlated0.5,4096,1,4,99446,79800,3458,16188
radix,correlated0.9,4096,1,4,84279,64630,3459,16190
pdq_dynamic,correlated0.9,4096,1,4,224845,205306,3376,16163
pdq_static,correlated0.9,4096,1,4,97583,77973,3439,16171
radix,correlated0.9,4096,1,4,84840,65293,3401,16146
pdq_dynamic,correlated0.9,4096,1,4,223173,203587,3422,16164
pdq_static,correlated0.9,4096,1,4,97327,77750,3427,16150
radix,correlated0.9,4096,1,4,82694,63165,3382,16147
pdq_dynamic,correlated0.9,4096,1,4,255446,235370,3402,16674
pdq_static,correlated0.9,4096,1,4,101591,81322,3581,16688
radix,correlated0.9,4096,1,4,86964,66713,3584,16667
pdq_dynamic,correlated0.9,4096,1,4,239431,219225,3542,16664
pdq_static,correlated0.9,4096,1,4,100509,80235,3610,16664
radix,correlated0.9,4096,1,4,86378,66176,3542,16660
pdq_dynamic,correlated0.9,4096,1,4,241140,221479,3525,16136
