category,distribution,count,columns,col_width,total,sort,scatter,gather
radix,random,4096,1,4,81894,62487,6425,12982
pdq_dynamic,random,4096,1,4,299381,283183,3278,12920
pdq_static,random,4096,1,4,166751,150548,3288,12915
radix,random,4096,1,4,67926,51663,3331,12932
pdq_dynamic,random,4096,1,4,294109,277953,3236,12920
pdq_static,random,4096,1,4,162009,145873,3211,12925
radix,random,4096,1,4,67776,51567,3279,12930
pdq_dynamic,random,4096,1,4,291237,275067,3246,12924
pdq_static,random,4096,1,4,161485,145290,3270,12925
radix,random,4096,1,4,68634,51869,3230,13535
pdq_dynamic,random,4096,1,4,285947,269818,3195,12934
pdq_static,random,4096,1,4,163320,147147,3258,12915
radix,random,4096,1,4,68156,51300,3316,13540
pdq_dynamic,random,4096,1,4,287644,271474,3230,12940
pdq_static,random,4096,1,4,163979,147841,3210,12928
radix,powerlaw,4096,1,4,79689,61213,3230,15246
pdq_dynamic,powerlaw,4096,1,4,184077,165752,3222,15103
pdq_static,powerlaw,4096,1,4,75232,56782,3214,15236
radix,powerlaw,4096,1,4,79830,61537,3208,15085
pdq_dynamic,powerlaw,4096,1,4,189279,170853,3191,15235
pdq_static,powerlaw,4096,1,4,78191,59949,3252,14990
radix,powerlaw,4096,1,4,79920,61435,3266,15219
pdq_dynamic,powerlaw,4096,1,4,183498,165190,3169,15139
pdq_static,powerlaw,4096,1,4,75460,57112,3212,15136
radix,powerlaw,4096,1,4,80700,62377,3225,15098
pdq_dynamic,powerlaw,4096,1,4,184532,166257,3187,15088
pdq_static,powerlaw,4096,1,4,74960,56660,3200,15100
radix,powerlaw,4096,1,4,80275,61984,3184,15107
pdq_dynamic,powerlaw,4096,1,4,187193,169004,3146,15043
pdq_static,powerlaw,4096,1,4,75717,57453,3173,15091
radix,correlated0.1,4096,1,4,79397,60094,3239,16064
pdq_dynamic,correlated0.1,4096,1,4,215179,196078,3207,15894
pdq_static,correlated0.1,4096,1,4,92648,73408,3267,15973
radix,correlated0.1,4096,1,4,78664,59567,3220,15877
pdq_dynamic,correlated0.1,4096,1,4,218994,199935,3193,15866
pdq_static,correlated0.1,4096,1,4,92459,73446,3220,15793
radix,correlated0.1,4096,1,4,77310,58092,3254,15964
pdq_dynamic,correlated0.1,4096,1,4,213847,194754,3218,15875
pdq_static,correlated0.1,4096,1,4,94999,76132,3219,15648
radix,correlated0.1,4096,1,4,81876,62762,3255,15859
pdq_dynamic,correlated0.1,4096,1,4,209484,190420,3243,15821
pdq_static,correlated0.1,4096,1,4,93155,74076,3219,15860
radix,correlated0.1,4096,1,4,78142,58986,3256,15900
pdq_dynamic,correlated0.1,4096,1,4,216240,197160,3248,15832
pdq_static,correlated0.1,4096,1,4,95455,76357,3271,15827
radix,correlated0.5,4096,1,4,77683,58601,3232,15850
pdq_dynamic,correlated0.5,4096,1,4,214243,195357,3212,15674
pdq_static,correlated0.5,4096,1,4,93108,73888,3262,15958
radix,correlated0.5,4096,1,4,78091,58844,3241,16006
pdq_dynamic,correlated0.5,4096,1,4,213565,194621,3212,15732
pdq_static,correlated0.5,4096,1,4,91694,72655,3212,15827
radix,correlated0.5,4096,1,4,78913,59632,3247,16034
pdq_dynamic,correlated0.5,4096,1,4,214440,195326,3227,15887
pdq_static,correlated0.5,4096,1,4,91440,72490,3201,15749
radix,correlated0.5,4096,1,4,77656,58405,3207,16044
pdq_dynamic,correlated0.5,4096,1,4,216571,197652,3189,15730
pdq_static,correlated0.5,4096,1,4,92322,73207,3215,15900
radix,correlated0.5,4096,1,4,78442,59296,3225,15921
pdq_dynamic,correlated0.5,4096,1,4,222479,203518,3215,15746
pdq_static,correlated0.5,4096,1,4,94542,75503,3229,15810
radix,correlated0.9,4096,1,4,78672,59778,3238,15656
pdq_dynamic,correlated0.9,4096,1,4,212051,193172,3202,15677
pdq_static,correlated0.9,4096,1,4,92213,73175,3223,15815
radix,correlated0.9,4096,1,4,78571,59457,3201,15913
pdq_dynamic,correlated0.9,4096,1,4,210121,191248,3125,15748
pdq_static,correlated0.9,4096,1,4,92622,73517,3244,15861
radix,correlated0.9,4096,1,4,78290,59310,3231,15749
pdq_dynamic,correlated0.9,4096,1,4,215389,196422,3191,15776
pdq_static,correlated0.9,4096,1,4,92600,73590,3174,15836
radix,correlated0.9,4096,1,4,78072,58982,3264,15826
pdq_dynamic,correlated0.9,4096,1,4,219404,200355,3221,15828
pdq_static,correlated0.9,4096,1,4,91965,72913,3216,15836
radix,correlated0.9,4096,1,4,78136,59188,3194,15754
