sim,category,count,columns,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS
reorder,col,10,1,616,21266,4981,3825
reorder,col,10,1,567,22719,3390,3403
reorder,col,10,1,620,22656,3422,3578
reorder,col,10,1,580,23697,4225,3821
reorder,col,10,1,657,18875,4331,3627
reorder,col,10,2,728,21408,9714,4150
reorder,col,10,2,679,25055,9559,4111
reorder,col,10,2,575,25089,10458,3672
reorder,col,10,2,548,22522,10240,3401
reorder,col,10,2,550,22177,10133,3378
reorder,col,10,4,564,24228,15080,3807
reorder,col,10,4,626,22287,14086,3478
reorder,col,10,4,636,21813,15094,3329
reorder,col,10,4,718,22942,12669,3894
reorder,col,10,4,643,23874,16135,3746
reorder,col,10,8,609,23259,26355,4365
reorder,col,10,8,624,26124,27812,4451
reorder,col,10,8,665,24000,26614,4047
reorder,col,10,8,733,26085,24027,4207
reorder,col,10,8,637,26995,27259,4226
reorder,col,10,16,580,24532,43634,4159
reorder,col,10,16,694,25016,50959,3831
reorder,col,10,16,653,25120,49265,4046
reorder,col,10,16,532,23773,51761,3518
reorder,col,10,16,570,25182,47725,3718
reorder,col,10,32,676,29700,94299,4322
reorder,col,10,32,693,29582,87030,4639
reorder,col,10,32,865,28857,94115,4990
reorder,col,10,32,704,29863,96457,4655
reorder,col,10,32,645,28495,90075,4995
reorder,col,10,64,727,31884,187396,4572
reorder,col,10,64,789,33413,183966,5429
reorder,col,10,64,680,33599,165816,5018
reorder,col,10,64,704,28408,185749,4657
reorder,col,10,64,929,34129,185572,6034
reorder,col,10,96,902,37006,312821,6495
reorder,col,10,96,822,39407,273264,6527
reorder,col,10,96,754,36460,320844,5905
reorder,col,10,96,851,39486,319035,6277
reorder,col,10,96,865,36633,283114,5530
reorder,col,11,1,710,22828,9671,4025
reorder,col,11,1,683,23123,9460,3844
reorder,col,11,1,661,22647,6640,3650
reorder,col,11,1,629,22920,8465,4743
reorder,col,11,1,587,21835,8628,3924
reorder,col,11,2,623,24407,15341,3816
reorder,col,11,2,691,26206,16100,4579
reorder,col,11,2,622,24920,11045,4092
