category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,3,417861416,17,414,53,52,215
row,4194304,3,417961583,53,521,46,197,643
row,4194304,3,418061375,33,757,407,129,735
row,4194304,3,418161208,46,5226,584,754,1115
row,4194304,3,418261333,58,6305,673,664,1479
row,4194304,3,418361208,21,1869,88,86,3158
row,4194304,3,423162750,47,526,78,226,425
row,4194304,3,423261583,116,571,197,485,794
row,4194304,3,423361250,137,3315,922,830,1345
row,4194304,3,423561416,38,457,246,133,228
row,4194304,3,423661083,0,0,0,0,0
row,4194304,3,423961125,69,873,31436,2249,9
row,4194304,3,424061208,149,1890,72385,5283,0
row,4194304,3,424161083,142,1910,71543,5188,0
row,4194304,3,424261083,130,1728,66083,4735,0
row,4194304,3,424361083,113,1520,56784,4151,0
row,4194304,3,424461125,139,1839,70253,5145,0
row,4194304,3,424561083,143,1791,70568,5203,0
row,4194304,3,424661208,124,1562,61044,4480,0
row,4194304,3,424763958,130,1701,65025,4832,0
row,4194304,3,424861041,133,1749,64325,4726,0
row,4194304,3,424961166,112,1597,55216,4175,0
row,4194304,3,425061208,135,1810,67323,4898,0
row,4194304,3,425161208,115,1488,56662,3952,0
row,4194304,3,425261125,130,1809,65079,4729,0
row,4194304,3,425361083,138,1799,68400,5060,0
row,4194304,3,425461083,135,1853,66293,4796,0
row,4194304,3,425561166,144,1742,62968,4547,5
row,4194304,3,425661125,144,1951,71209,5158,0
row,4194304,3,425761125,144,1946,71518,5152,0
row,4194304,3,425861083,121,1682,61050,4335,0
row,4194304,3,425961125,124,1637,60842,4367,0
row,4194304,3,426061125,127,1682,63056,4603,0
row,4194304,3,426161125,140,1888,68597,5022,0
row,4194304,3,426261083,125,1690,61032,4366,0
row,4194304,3,426361125,132,1785,65918,4749,0
row,4194304,3,426461125,134,1726,66252,4788,0
row,4194304,3,426561083,139,1871,70574,5153,0
row,4194304,3,426661291,125,1703,60983,4463,0
row,4194304,3,426763833,128,1730,63861,4440,0
row,4194304,3,426861083,132,1711,64150,4707,0
row,4194304,3,426961250,135,1846,67534,5041,0
row,4194304,3,427061083,128,1660,62470,4539,0
row,4194304,3,427161250,101,1394,35305,2723,59
row,4194304,3,427261166,9,803,25,22,0
row,4194304,3,427361125,9,795,27,24,0
row,4194304,3,427461125,9,800,27,22,0
row,4194304,3,427561083,9,779,32,21,0
row,4194304,3,427661125,12,779,31,30,0
row,4194304,3,427761291,10,795,28,23,0
row,4194304,3,427861125,9,769,25,21,0
row,4194304,3,427961125,9,796,27,23,0
row,4194304,3,428061125,11,795,27,25,0
row,4194304,3,428161125,9,794,26,22,0
row,4194304,3,428261125,9,793,31,24,0
row,4194304,3,428361208,10,739,33,27,0
row,4194304,3,428461125,13,786,32,31,0
row,4194304,3,428561166,9,793,26,24,0
row,4194304,3,428664833,9,794,27,25,0
row,4194304,3,428761125,9,767,24,24,0
row,4194304,3,428861125,10,796,25,23,0
row,4194304,3,428961125,11,793,25,28,0
row,4194304,3,429061375,9,664,33,23,0
row,4194304,3,429161333,10,794,27,27,0
row,4194304,3,429264000,8,796,23,21,0
row,4194304,3,429361083,9,767,24,25,0
row,4194304,3,429461166,10,784,29,23,0
row,4194304,3,429561125,11,782,30,30,0
row,4194304,3,429661083,12,796,26,24,0
row,4194304,3,429761125,9,796,28,22,0
row,4194304,3,429861125,9,795,26,24,0
row,4194304,3,429961125,9,795,25,23,0
row,4194304,3,430061125,9,798,30,21,0
row,4194304,3,430161125,13,780,32,33,0
row,4194304,3,430261125,11,792,27,23,0
row,4194304,3,430361125,9,795,27,23,0
row,4194304,3,430461125,10,797,26,28,0
row,4194304,3,430561125,9,792,27,24,0
row,4194304,3,430664000,9,791,29,25,0
row,4194304,3,430761083,10,760,27,25,0
row,4194304,3,430861125,11,782,31,32,0
row,4194304,3,430961125,10,793,25,25,0
row,4194304,3,431061125,9,790,26,23,0
row,4194304,3,431161125,9,795,25,27,0
row,4194304,3,431261125,9,795,24,24,0
row,4194304,3,431361125,10,792,27,26,0
row,4194304,3,431461125,12,764,33,30,0
row,4194304,3,431561125,9,793,27,21,0
row,4194304,3,431661125,9,784,28,22,0
row,4194304,3,431761125,9,789,27,25,0
row,4194304,3,431861125,9,796,25,23,0
row,4194304,3,431961125,10,794,26,24,0
row,4194304,3,432061083,11,787,26,23,0
row,4194304,3,432161125,12,782,33,32,0
row,4194304,3,432261125,9,795,24,22,0
row,4194304,3,432461791,9,796,30,23,0
row,4194304,3,432561291,9,789,25,24,0
row,4194304,3,432661291,9,792,30,24,0
row,4194304,3,432763958,12,778,33,29,0
row,4194304,3,432861125,11,765,25,27,0
row,4194304,3,432961125,10,795,24,27,0
row,4194304,3,433061125,11,796,24,23,0
row,4194304,3,433161125,9,794,25,21,0
row,4194304,3,433261125,9,793,22,28,0
row,4194304,3,433361208,9,677,21,21,0
row,4194304,3,433461125,10,783,28,24,0
row,4194304,3,433561166,11,747,34,28,0
row,4194304,3,433661125,10,797,27,24,0
row,4194304,3,433761125,13,781,29,32,0
row,4194304,3,433861125,10,790,34,43,0
row,4194304,3,433961125,10,791,25,29,0
row,4194304,3,434061125,9,791,24,22,0
row,4194304,3,434161125,9,791,26,23,0
row,4194304,3,434261125,9,797,28,24,0
row,4194304,3,434361041,12,789,28,29,0
row,4194304,3,434461125,11,783,34,45,0
row,4194304,3,434561333,10,792,26,25,0
row,4194304,3,434663958,9,841,30,28,0
row,4194304,3,434761125,10,832,29,27,0
row,4194304,3,434861083,12,842,33,29,0
row,4194304,3,434961083,9,861,28,24,0
row,4194304,3,435061083,12,838,36,30,0
row,4194304,3,435161083,9,863,28,24,0
row,4194304,3,435261083,8,848,30,21,0
row,4194304,3,435361083,12,839,35,35,0
row,4194304,3,435461083,11,846,27,28,0
row,4194304,3,435561041,13,836,38,33,0
row,4194304,3,435661125,11,858,28,26,0
row,4194304,3,435761125,9,855,31,22,0
row,4194304,3,435861083,12,832,37,29,0
row,4194304,3,435961083,10,831,27,25,0
row,4194304,3,436061083,9,854,28,24,0
row,4194304,3,436161125,13,844,34,30,0
row,4194304,3,436261083,9,858,28,23,0
row,4194304,3,436361333,12,841,36,30,0
row,4194304,3,436461083,9,855,27,25,0
row,4194304,3,436563916,10,850,30,25,0
row,4194304,3,436661125,12,808,35,32,0
row,4194304,3,436761083,9,851,29,23,0
row,4194304,3,436861083,9,854,32,24,0
row,4194304,3,436961083,13,838,37,30,0
row,4194304,3,437061125,9,861,28,22,0
row,4194304,3,437161125,11,839,32,30,0
row,4194304,3,437261125,9,863,29,21,0
row,4194304,3,437361083,10,848,28,28,0
row,4194304,3,437461125,13,838,35,29,0
row,4194304,3,437561083,10,854,30,25,0
row,4194304,3,437661125,13,844,35,29,0
row,4194304,3,437761125,9,860,28,22,0
row,4194304,3,437861125,9,854,32,22,0
row,4194304,3,437961083,13,844,35,34,0
row,4194304,3,438061083,9,861,26,24,0
row,4194304,3,438161083,12,842,37,30,0
row,4194304,3,438261083,9,860,30,25,0
row,4194304,3,438361083,9,857,33,24,0
row,4194304,3,438461125,12,845,30,28,0
row,4194304,3,438563958,9,861,27,22,0
row,4194304,3,438661125,13,818,37,31,0
