category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,64,420975666,10,138,55,37,88
row,4194304,64,421075583,70,722,56,284,739
row,4194304,64,421175666,26,719,334,150,678
row,4194304,64,421275458,46,5201,454,559,1115
row,4194304,64,421375500,82,6097,778,803,1603
row,4194304,64,421475791,17,1916,114,75,3190
row,4194304,64,426275708,0,0,0,0,0
row,4194304,64,426375708,135,884,244,507,1091
row,4194304,64,426478583,114,2020,341,699,726
row,4194304,64,426575541,116,5079,821,810,1598
row,4194304,64,426675583,23,535,312,147,217
row,4194304,64,426775375,0,138,130,0,0
row,4194304,64,426875333,2,122,182,6,0
row,4194304,64,426975333,2,109,166,6,0
row,4194304,64,427075333,2,141,153,7,0
row,4194304,64,427175333,0,141,171,0,0
row,4194304,64,427275375,2,129,158,6,0
row,4194304,64,427375333,3,145,160,10,0
row,4194304,64,427476083,2,107,119,7,0
row,4194304,64,427575375,1,92,85,22,0
row,4194304,64,427675375,2,131,175,6,0
row,4194304,64,427775375,3,133,172,7,0
row,4194304,64,427875375,0,131,146,0,0
row,4194304,64,427975375,2,130,181,6,0
row,4194304,64,428075375,2,123,157,6,0
row,4194304,64,428175541,2,130,182,6,0
row,4194304,64,428278333,0,141,149,0,0
row,4194304,64,428378375,2,133,143,7,0
row,4194304,64,428475333,2,142,147,6,0
row,4194304,64,428575375,2,143,193,6,0
row,4194304,64,428675291,0,148,195,0,0
row,4194304,64,428775333,2,151,185,6,0
row,4194304,64,428875333,2,137,176,6,0
row,4194304,64,428975333,2,136,178,8,0
row,4194304,64,429075333,3,146,170,10,0
row,4194304,64,429175333,0,142,185,0,0
row,4194304,64,429275291,2,147,190,7,0
row,4194304,64,429375333,3,133,191,10,0
row,4194304,64,429475333,2,150,168,6,0
row,4194304,64,429575333,2,130,171,8,0
row,4194304,64,429675375,2,123,193,8,0
row,4194304,64,429775291,0,104,195,0,0
row,4194304,64,429875333,2,143,176,6,0
row,4194304,64,429975333,3,151,166,10,0
row,4194304,64,430075333,2,146,145,7,0
row,4194304,64,430175333,4,115,188,10,0
row,4194304,64,430275500,0,129,161,0,0
row,4194304,64,430375541,2,134,173,7,0
row,4194304,64,430475333,2,150,174,8,0
row,4194304,64,430575375,2,145,160,6,0
row,4194304,64,430675375,3,147,174,11,0
row,4194304,64,430775333,0,146,163,0,0
row,4194304,64,430875333,3,141,178,10,0
row,4194304,64,430975333,3,142,189,9,0
row,4194304,64,431075333,2,144,176,7,0
row,4194304,64,431175416,2,132,160,6,0
row,4194304,64,431279625,0,140,181,0,0
row,4194304,64,431375333,3,144,158,7,0
row,4194304,64,431478166,3,144,183,8,0
row,4194304,64,431575333,2,145,116,6,0
row,4194304,64,431675333,2,142,162,6,0
row,4194304,64,431775333,1,149,140,18,0
row,4194304,64,431875333,2,140,168,7,0
row,4194304,64,431975291,3,126,199,8,0
row,4194304,64,432075333,3,116,167,8,0
row,4194304,64,432175583,0,122,109,0,0
row,4194304,64,432275500,3,149,169,8,0
row,4194304,64,432375541,2,133,171,8,0
row,4194304,64,432478000,3,145,152,9,0
row,4194304,64,432575375,2,147,155,6,0
row,4194304,64,432675333,0,113,190,0,0
row,4194304,64,432775333,2,85,202,7,0
row,4194304,64,432875333,3,153,164,12,0
row,4194304,64,432975333,2,149,157,7,0
row,4194304,64,433075333,2,131,154,7,0
row,4194304,64,433175416,3,109,199,10,0
row,4194304,64,433275333,1,157,146,17,0
row,4194304,64,433375333,2,136,181,7,0
row,4194304,64,433475333,2,142,158,7,0
row,4194304,64,433575333,2,133,176,7,0
row,4194304,64,433675375,2,139,155,6,0
row,4194304,64,433775291,0,149,159,0,0
row,4194304,64,433875333,2,150,177,6,0
row,4194304,64,433975375,2,132,165,7,0
row,4194304,64,434075291,4,148,161,9,0
row,4194304,64,434175333,4,143,176,10,0
row,4194304,64,434275333,0,142,177,0,0
row,4194304,64,434378250,2,144,172,6,0
row,4194304,64,434475333,2,146,172,7,0
row,4194304,64,434575333,2,143,175,7,0
row,4194304,64,434675333,3,146,169,7,0
row,4194304,64,434778250,0,150,155,0,0
row,4194304,64,434875291,2,118,186,6,0
row,4194304,64,434975333,2,143,152,7,0
row,4194304,64,435075333,2,156,177,6,0
row,4194304,64,435175375,3,135,137,8,0
row,4194304,64,435275333,0,141,201,0,0
row,4194304,64,435375333,2,140,182,7,0
row,4194304,64,435475375,2,143,158,7,0
row,4194304,64,435575291,3,130,157,8,0
row,4194304,64,435675333,3,121,213,11,0
row,4194304,64,435775375,0,96,171,0,0
row,4194304,64,435875333,3,145,180,10,0
row,4194304,64,435975291,3,150,161,7,0
row,4194304,64,436075375,3,158,150,7,0
row,4194304,64,436175333,3,113,172,10,0
row,4194304,64,436275583,2,107,157,7,0
row,4194304,64,436375333,0,145,183,0,0
row,4194304,64,436475333,3,148,191,8,0
row,4194304,64,436575375,2,145,179,6,0
row,4194304,64,436675375,3,136,171,9,0
row,4194304,64,436775333,2,128,151,6,0
