category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
pdq_static,4194304,3,376644458,3,11,10,13,2
pdq_static,4194304,3,376745333,55,890,108,209,908
pdq_static,4194304,3,376844458,16,409,77,66,401
pdq_static,4194304,3,376944583,31,4780,752,330,1378
pdq_static,4194304,3,377044458,88,6903,807,1052,1564
pdq_static,4194304,3,377144333,23,2546,83,146,3619
pdq_static,4194304,3,381244875,37,419,72,146,260
pdq_static,4194304,3,381344416,179,1255,256,738,1078
pdq_static,4194304,3,381444375,165,3709,928,962,1587
pdq_static,4194304,3,381544666,72,983,15405,1308,227
pdq_static,4194304,3,381644291,149,2030,70562,5544,0
pdq_static,4194304,3,381744666,128,1750,63372,4785,0
pdq_static,4194304,3,381844166,157,2137,76842,5744,0
pdq_static,4194304,3,381944208,141,2006,70353,5028,0
pdq_static,4194304,3,382044208,150,2050,75299,5487,0
pdq_static,4194304,3,382144208,150,2046,72197,5442,0
pdq_static,4194304,3,382244625,148,2030,73669,5454,0
pdq_static,4194304,3,382344166,145,2016,72765,5387,0
pdq_static,4194304,3,382444291,136,2070,68832,5012,0
pdq_static,4194304,3,382544208,145,2061,70144,5094,0
pdq_static,4194304,3,382644291,144,2096,71123,5149,0
pdq_static,4194304,3,382744291,144,2061,71105,5152,0
pdq_static,4194304,3,382844500,140,1953,66713,5014,0
pdq_static,4194304,3,382944333,151,2014,73867,5446,0
pdq_static,4194304,3,383044333,99,1550,35829,2847,51
pdq_static,4194304,3,383144333,14,882,33,36,0
pdq_static,4194304,3,383244250,9,899,25,23,0
pdq_static,4194304,3,383344458,13,872,35,29,0
pdq_static,4194304,3,383445083,9,895,29,22,0
pdq_static,4194304,3,383544208,12,868,37,31,0
pdq_static,4194304,3,383644333,9,897,31,24,0
pdq_static,4194304,3,383744375,12,880,35,29,0
pdq_static,4194304,3,383844458,9,900,26,21,0
pdq_static,4194304,3,383944250,12,883,36,29,0
pdq_static,4194304,3,384044666,9,900,32,24,0
pdq_static,4194304,3,384144291,13,884,31,30,0
pdq_static,4194304,3,384244500,12,887,37,33,0
pdq_static,4194304,3,384344458,9,901,26,22,0
pdq_static,4194304,3,384444333,14,880,37,37,0
pdq_static,4194304,3,384544333,9,899,26,22,0
pdq_static,4194304,3,384644500,12,878,38,36,0
pdq_static,4194304,3,384744416,9,862,30,24,0
pdq_static,4194304,3,384844458,11,850,34,33,0
pdq_static,4194304,3,384944458,10,861,28,24,0
pdq_static,4194304,3,385044416,13,857,31,32,0
pdq_static,4194304,3,385144416,10,850,35,43,0
pdq_static,4194304,3,385244416,9,867,25,21,0
pdq_static,4194304,3,385344458,12,850,36,29,0
pdq_static,4194304,3,385444333,10,867,28,25,0
pdq_static,4194304,3,385544416,13,854,34,31,0
pdq_static,4194304,3,385644333,10,866,24,22,0
pdq_static,4194304,3,385744333,13,852,28,33,0
pdq_static,4194304,3,385844375,13,781,36,47,0
pdq_static,4194304,3,385944458,12,867,26,28,0
pdq_static,4194304,3,386044500,12,857,31,34,0
pdq_static,4194304,3,386144291,11,861,33,46,0
pdq_static,4194304,3,386244375,10,867,26,24,0
pdq_static,4194304,3,386344458,12,850,39,38,0
pdq_static,4194304,3,386444458,10,865,26,26,0
pdq_static,4194304,3,386544375,12,850,34,31,0
pdq_static,4194304,3,386644416,10,866,27,26,0
pdq_static,4194304,3,386744375,12,848,33,32,0
pdq_static,4194304,3,386844333,9,871,26,25,0
pdq_static,4194304,3,386944458,9,867,28,23,0
pdq_static,4194304,3,387044416,12,849,31,28,0
