category,count,columns,distribution,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC,BRANCH_MISPRED_NONSPEC
pdq_static,16777216,3,powerlaw,399258458,7,66,49,33,82,97
pdq_static,16777216,3,powerlaw,399358500,61,812,54,333,889,912
pdq_static,16777216,3,powerlaw,399458541,47,4053,756,306,1030,1102
pdq_static,16777216,3,powerlaw,399558375,60,6113,676,958,1498,1542
pdq_static,16777216,3,powerlaw,399658375,36,3346,337,303,2996,3062
pdq_static,16777216,3,powerlaw,399758291,19,1998,108,182,1077,1109
pdq_static,16777216,3,powerlaw,399858750,52,1024,141,244,556,592
pdq_static,16777216,3,powerlaw,399958708,150,1360,392,862,586,645
pdq_static,16777216,3,powerlaw,400058458,126,5596,999,985,1048,1127
pdq_static,16777216,3,powerlaw,400158500,82,1682,26875,2160,321,416
pdq_static,16777216,3,powerlaw,400258666,36,455,16350,1322,0,0
pdq_static,16777216,3,powerlaw,400358333,112,1468,54985,4249,0,0
pdq_static,16777216,3,powerlaw,400458416,119,1445,57214,4329,0,0
pdq_static,16777216,3,powerlaw,400558416,116,1516,56133,4465,0,0
pdq_static,16777216,3,powerlaw,400658375,84,1142,41471,3115,0,0
pdq_static,16777216,3,powerlaw,400758416,115,1579,55939,4480,0,0
pdq_static,16777216,3,powerlaw,400858625,123,1655,59495,4503,0,0
pdq_static,16777216,3,powerlaw,400958250,123,1690,59636,4649,0,0
pdq_static,16777216,3,powerlaw,401058375,127,1604,62086,4477,0,0
pdq_static,16777216,3,powerlaw,401158666,107,1447,53840,3951,0,0
pdq_static,16777216,3,powerlaw,401258375,121,1609,58026,4386,0,0
pdq_static,16777216,3,powerlaw,401358458,123,1549,59249,4509,0,0
pdq_static,16777216,3,powerlaw,401458375,119,1554,57138,4307,0,0
pdq_static,16777216,3,powerlaw,401559625,99,1344,47733,3544,0,0
pdq_static,16777216,3,powerlaw,401658375,109,1500,55162,4187,0,0
pdq_static,16777216,3,powerlaw,401758500,124,1585,58184,4436,0,0
pdq_static,16777216,3,powerlaw,401858333,124,1685,59173,4423,0,0
pdq_static,16777216,3,powerlaw,401958333,125,1600,60413,4566,0,0
pdq_static,16777216,3,powerlaw,402058708,122,1556,58588,4184,0,0
pdq_static,16777216,3,powerlaw,402158291,138,1785,65214,4984,0,0
pdq_static,16777216,3,powerlaw,402258250,131,1731,62404,4784,0,0
pdq_static,16777216,3,powerlaw,402358500,126,1734,61502,4693,0,0
pdq_static,16777216,3,powerlaw,402459791,114,1468,53628,3889,0,0
pdq_static,16777216,3,powerlaw,402558333,130,1688,59990,4594,0,0
pdq_static,16777216,3,powerlaw,402658500,135,1730,61383,4791,0,0
pdq_static,16777216,3,powerlaw,402758250,117,1684,58063,4424,0,0
pdq_static,16777216,3,powerlaw,402858250,114,1444,54253,4300,0,0
pdq_static,16777216,3,powerlaw,402958875,114,1524,54996,4318,0,0
pdq_static,16777216,3,powerlaw,403058666,126,1634,60195,4649,0,0
pdq_static,16777216,3,powerlaw,403158333,128,1638,57190,4564,0,0
pdq_static,16777216,3,powerlaw,403258375,123,1595,58189,4513,0,0
pdq_static,16777216,3,powerlaw,403358416,101,1405,48666,3581,0,0
pdq_static,16777216,3,powerlaw,403458250,123,1669,61274,4655,0,0
pdq_static,16777216,3,powerlaw,403558333,124,1656,59266,4607,0,0
pdq_static,16777216,3,powerlaw,403658625,120,1596,58056,4392,0,0
pdq_static,16777216,3,powerlaw,403758458,107,1437,51824,3952,0,0
pdq_static,16777216,3,powerlaw,403858625,110,1536,54931,4058,0,0
pdq_static,16777216,3,powerlaw,403958500,117,1600,56996,4278,0,0
pdq_static,16777216,3,powerlaw,404058416,121,1522,56326,4487,0,0
pdq_static,16777216,3,powerlaw,404159208,124,1686,60031,4553,0,0
pdq_static,16777216,3,powerlaw,404258625,110,1475,53933,4023,0,0
pdq_static,16777216,3,powerlaw,404358833,113,1542,55881,4238,0,0
pdq_static,16777216,3,powerlaw,404458333,117,1634,57888,4323,0,0
pdq_static,16777216,3,powerlaw,404558375,114,1600,54392,4132,0,0
pdq_static,16777216,3,powerlaw,404658333,108,1494,52910,4083,0,0
pdq_static,16777216,3,powerlaw,404758375,94,1297,45678,3496,0,0
pdq_static,16777216,3,powerlaw,404858250,115,1536,54188,4116,0,0
pdq_static,16777216,3,powerlaw,404958416,114,1584,55707,4401,0,0
pdq_static,16777216,3,powerlaw,405058416,115,1580,54510,4144,0,0
pdq_static,16777216,3,powerlaw,405158333,108,1424,49080,3919,0,0
pdq_static,16777216,3,powerlaw,405258666,103,1402,50660,3786,0,0
pdq_static,16777216,3,powerlaw,405358333,110,1506,53063,3927,0,0
pdq_static,16777216,3,powerlaw,405458875,116,1510,55132,4269,0,0
pdq_static,16777216,3,powerlaw,405558375,113,1528,53847,4253,0,0
pdq_static,16777216,3,powerlaw,405658500,101,1406,48523,3770,0,0
pdq_static,16777216,3,powerlaw,405758208,113,1552,54892,4335,0,0
pdq_static,16777216,3,powerlaw,405858208,120,1689,56936,4320,0,0
pdq_static,16777216,3,powerlaw,405958833,115,1620,56422,4306,0,0
pdq_static,16777216,3,powerlaw,406058250,117,1640,57912,4442,0,0
pdq_static,16777216,3,powerlaw,406158291,112,1481,54920,4054,0,0
pdq_static,16777216,3,powerlaw,406258875,122,1654,58995,4439,0,0
pdq_static,16777216,3,powerlaw,406358333,103,1421,50879,4073,0,0
pdq_static,16777216,3,powerlaw,406458750,128,1594,59419,4539,0,0
pdq_static,16777216,3,powerlaw,406558250,112,1451,53951,3996,0,0
pdq_static,16777216,3,powerlaw,406658208,116,1518,55987,4311,0,0
pdq_static,16777216,3,powerlaw,406758791,119,1523,57205,4352,0,0
pdq_static,16777216,3,powerlaw,406858458,123,1608,58033,4371,0,0
pdq_static,16777216,3,powerlaw,406958250,115,1614,56140,4353,0,0
pdq_static,16777216,3,powerlaw,407058791,101,1424,49959,3907,0,0
pdq_static,16777216,3,powerlaw,407158500,110,1598,54706,4042,0,0
pdq_static,16777216,3,powerlaw,407258416,121,1668,60122,4836,0,0
pdq_static,16777216,3,powerlaw,407358333,125,1709,60450,4471,0,0
pdq_static,16777216,3,powerlaw,407458250,119,1575,58715,4217,0,0
pdq_static,16777216,3,powerlaw,407558291,119,1671,60094,4468,1,1
pdq_static,16777216,3,powerlaw,407658541,44,650,183,223,83,91
pdq_static,16777216,3,powerlaw,407758291,9,385,88,14,0,0
pdq_static,16777216,3,powerlaw,407858375,4,398,66,8,0,0
pdq_static,16777216,3,powerlaw,407958291,6,409,51,10,1,1
pdq_static,16777216,3,powerlaw,408058291,6,406,51,12,0,0
pdq_static,16777216,3,powerlaw,408158250,3,391,72,5,0,0
pdq_static,16777216,3,powerlaw,408258333,7,381,66,11,0,0
pdq_static,16777216,3,powerlaw,408358291,8,407,60,12,0,0
pdq_static,16777216,3,powerlaw,408458291,6,387,63,10,0,0
pdq_static,16777216,3,powerlaw,408558291,3,392,136,5,0,0
pdq_static,16777216,3,powerlaw,408658333,7,394,60,11,0,0
pdq_static,16777216,3,powerlaw,408758333,8,383,65,12,0,0
