category,count,columns,distribution,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC,BRANCH_MISPRED_NONSPEC
pdq_static,16777216,3,random,401864541,29,690,77,191,402,432
pdq_static,16777216,3,random,401964500,30,163,35,130,423,433
pdq_static,16777216,3,random,402064541,40,9774,3763,446,1169,1243
pdq_static,16777216,3,random,402164416,66,6096,666,924,1387,1435
pdq_static,16777216,3,random,402264416,35,3077,540,238,2319,2384
pdq_static,16777216,3,random,402364750,16,2165,82,148,2106,2134
pdq_static,16777216,3,random,402468375,8,1085,115,50,158,197
pdq_static,16777216,3,random,402564708,101,576,174,427,863,918
pdq_static,16777216,3,random,402664375,94,821,204,516,312,360
pdq_static,16777216,3,random,402764666,90,3621,925,837,1276,1416
pdq_static,16777216,3,random,402867625,47,3628,5656,822,771,914
pdq_static,16777216,3,random,402964458,132,1650,63650,4870,0,0
pdq_static,16777216,3,random,403064375,139,1682,66799,5031,0,0
pdq_static,16777216,3,random,403164416,142,1632,68859,4979,0,0
pdq_static,16777216,3,random,403264416,129,1512,63399,4840,0,0
pdq_static,16777216,3,random,403364250,133,1611,65717,4752,0,0
pdq_static,16777216,3,random,403464416,143,1613,70021,5110,0,0
pdq_static,16777216,3,random,403564333,138,1616,68186,4999,0,0
pdq_static,16777216,3,random,403664333,131,1456,65321,4833,0,0
pdq_static,16777216,3,random,403767375,134,1569,66931,4803,0,0
pdq_static,16777216,3,random,403868333,125,1492,61966,4595,0,0
pdq_static,16777216,3,random,403964291,127,1397,61920,4490,0,0
pdq_static,16777216,3,random,404064291,123,1420,60799,4503,0,0
pdq_static,16777216,3,random,404164291,127,1398,63033,4502,0,0
pdq_static,16777216,3,random,404264416,137,1494,67299,4783,0,0
pdq_static,16777216,3,random,404364250,130,1481,64165,4687,0,0
pdq_static,16777216,3,random,404464375,119,1375,58956,4257,0,0
pdq_static,16777216,3,random,404564250,134,1575,65014,4680,0,0
pdq_static,16777216,3,random,404664291,135,1581,66979,4832,0,0
pdq_static,16777216,3,random,404764250,133,1535,66067,4791,0,0
pdq_static,16777216,3,random,404864250,131,1488,63162,4665,0,0
pdq_static,16777216,3,random,404964208,117,1434,58986,4353,0,0
pdq_static,16777216,3,random,405064250,133,1484,66185,4791,0,0
pdq_static,16777216,3,random,405164250,132,1484,64944,4708,0,0
pdq_static,16777216,3,random,405264333,128,1516,64992,4679,0,0
pdq_static,16777216,3,random,405364250,122,1411,62060,4515,0,0
pdq_static,16777216,3,random,405464333,135,1544,67171,4889,0,0
pdq_static,16777216,3,random,405564250,133,1521,67108,4778,0,0
pdq_static,16777216,3,random,405664250,129,1551,65017,4699,0,0
pdq_static,16777216,3,random,405767791,120,1494,59960,4403,0,0
pdq_static,16777216,3,random,405864250,133,1640,65977,4830,0,0
pdq_static,16777216,3,random,405964291,141,1761,71109,5020,0,0
pdq_static,16777216,3,random,406064250,132,1613,65477,4736,0,0
pdq_static,16777216,3,random,406164250,138,1701,68646,4940,0,0
pdq_static,16777216,3,random,406264333,136,1667,67992,4940,0,0
pdq_static,16777216,3,random,406364416,142,1719,68992,4943,0,0
pdq_static,16777216,3,random,406467250,142,1732,70284,5214,0,0
pdq_static,16777216,3,random,406564250,135,1643,68007,4987,0,0
pdq_static,16777216,3,random,406664208,146,1731,70895,5034,0,0
pdq_static,16777216,3,random,406764166,142,1781,69031,5034,0,0
pdq_static,16777216,3,random,406864375,132,1595,64404,5017,0,0
pdq_static,16777216,3,random,406964416,135,1707,67065,4922,0,0
pdq_static,16777216,3,random,407067541,141,1701,69038,4965,0,0
pdq_static,16777216,3,random,407164375,113,1293,54001,4061,0,0
pdq_static,16777216,3,random,407264291,140,1694,68289,5239,0,0
pdq_static,16777216,3,random,407367125,135,1685,67244,5004,0,0
pdq_static,16777216,3,random,407464416,122,1511,59881,4486,0,0
pdq_static,16777216,3,random,407564333,127,1639,63005,4758,0,0
pdq_static,16777216,3,random,407664416,137,1702,68395,5086,0,0
