category,count,columns,distribution,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC,BRANCH_MISPRED_NONSPEC
pdq_static,16777216,3,uniqueN,395461375,23,657,86,160,381,411
pdq_static,16777216,3,uniqueN,395561458,27,317,38,91,460,473
pdq_static,16777216,3,uniqueN,395661416,37,9310,3754,413,994,1079
pdq_static,16777216,3,uniqueN,395761208,69,6086,780,968,1526,1571
pdq_static,16777216,3,uniqueN,395861208,58,3471,579,340,2661,2726
pdq_static,16777216,3,uniqueN,395961375,15,1810,46,163,1825,1850
pdq_static,16777216,3,uniqueN,396063250,61,1044,148,235,568,619
pdq_static,16777216,3,uniqueN,396161250,105,1442,338,661,905,1003
pdq_static,16777216,3,uniqueN,396261250,108,3852,938,901,1344,1509
pdq_static,16777216,3,uniqueN,396361291,102,3916,32268,2937,651,760
pdq_static,16777216,3,uniqueN,396461208,138,1807,67629,5135,0,0
pdq_static,16777216,3,uniqueN,396561416,102,1290,51295,3607,0,0
pdq_static,16777216,3,uniqueN,396661666,139,1779,69289,5023,0,0
pdq_static,16777216,3,uniqueN,396761041,142,1784,68822,5038,0,0
pdq_static,16777216,3,uniqueN,396861583,147,1757,70970,5111,0,0
pdq_static,16777216,3,uniqueN,396961166,132,1649,64689,4527,0,0
pdq_static,16777216,3,uniqueN,397061291,141,1770,70213,5182,0,0
pdq_static,16777216,3,uniqueN,397161125,140,1765,69516,5278,0,0
pdq_static,16777216,3,uniqueN,397261166,142,1785,68184,5126,0,0
pdq_static,16777216,3,uniqueN,397361083,138,1618,66995,4804,0,0
pdq_static,16777216,3,uniqueN,397461250,138,1704,67245,4969,0,0
pdq_static,16777216,3,uniqueN,397561208,135,1758,68377,4838,0,0
pdq_static,16777216,3,uniqueN,397661125,137,1726,67144,4882,0,0
pdq_static,16777216,3,uniqueN,397761250,122,1599,60990,4371,0,0
pdq_static,16777216,3,uniqueN,397861083,132,1692,66722,4864,0,0
pdq_static,16777216,3,uniqueN,397961041,119,1504,58728,4347,0,0
pdq_static,16777216,3,uniqueN,398061083,141,1812,69061,4875,0,0
pdq_static,16777216,3,uniqueN,398161125,119,1595,60474,4303,0,0
pdq_static,16777216,3,uniqueN,398261041,133,1710,66590,4824,0,0
pdq_static,16777216,3,uniqueN,398361208,139,1781,67318,5019,0,0
pdq_static,16777216,3,uniqueN,398461083,131,1698,64243,4685,0,0
pdq_static,16777216,3,uniqueN,398564250,137,1733,67388,4772,0,0
pdq_static,16777216,3,uniqueN,398661125,135,1714,67745,4837,0,0
pdq_static,16777216,3,uniqueN,398761125,129,1646,63378,4590,0,0
pdq_static,16777216,3,uniqueN,398861083,123,1607,60881,4346,0,0
pdq_static,16777216,3,uniqueN,398961083,112,1463,55571,3937,0,0
pdq_static,16777216,3,uniqueN,399061333,145,1833,70483,5019,0,0
pdq_static,16777216,3,uniqueN,399164333,136,1711,68006,4963,0,0
pdq_static,16777216,3,uniqueN,399261083,125,1581,60998,4465,0,0
pdq_static,16777216,3,uniqueN,399361041,137,1725,67232,4689,0,0
pdq_static,16777216,3,uniqueN,399461083,149,1805,74056,5325,0,0
pdq_static,16777216,3,uniqueN,399561208,134,1811,66700,4871,0,0
pdq_static,16777216,3,uniqueN,399664208,126,1588,62140,4498,0,0
pdq_static,16777216,3,uniqueN,399761041,138,1711,69106,4891,0,0
pdq_static,16777216,3,uniqueN,399861166,140,1808,69107,4947,0,0
pdq_static,16777216,3,uniqueN,399961333,134,1646,66179,4869,0,0
pdq_static,16777216,3,uniqueN,400061166,126,1640,62988,4484,0,0
pdq_static,16777216,3,uniqueN,400161125,145,1809,72331,5170,0,0
pdq_static,16777216,3,uniqueN,400261083,144,1827,71271,5129,0,0
pdq_static,16777216,3,uniqueN,400361125,128,1622,63277,4532,0,0
pdq_static,16777216,3,uniqueN,400461083,130,1548,64069,4554,0,0
pdq_static,16777216,3,uniqueN,400561250,141,1835,70089,5129,0,0
pdq_static,16777216,3,uniqueN,400661250,144,1753,70466,5282,0,0
pdq_static,16777216,3,uniqueN,400761375,140,1856,69159,5088,0,0
pdq_static,16777216,3,uniqueN,400861166,129,1583,63943,4476,0,0
pdq_static,16777216,3,uniqueN,400961166,141,1751,70350,5092,0,0
pdq_static,16777216,3,uniqueN,401061375,127,1627,63280,4714,0,0
