category,count,columns,col_width,total
col,16,1,4,14417
row,16,1,4,1125
col,16,1,4,1541
row,16,1,4,1000
col,16,1,4,1458
row,16,1,4,1125
col,16,2,4,2292
row,16,2,4,917
col,16,2,4,2125
row,16,2,4,833
col,16,2,4,2166
row,16,2,4,792
col,16,4,4,3875
row,16,4,4,916
col,16,4,4,3875
row,16,4,4,834
col,16,4,4,3417
row,16,4,4,875
col,16,8,4,6416
row,16,8,4,1083
col,16,8,4,6542
row,16,8,4,917
col,16,8,4,6500
row,16,8,4,875
col,16,16,4,11667
row,16,16,4,1083
col,16,16,4,11750
row,16,16,4,917
col,16,16,4,11792
row,16,16,4,959
col,16,32,4,19875
row,16,32,4,1084
col,16,32,4,18500
row,16,32,4,1000
col,16,32,4,19875
row,16,32,4,917
col,16,64,4,35875
row,16,64,4,1166
col,16,64,4,36625
row,16,64,4,1042
col,16,64,4,34000
row,16,64,4,959
col,16,128,4,67666
row,16,128,4,4083
col,16,128,4,66542
row,16,128,4,1333
col,16,128,4,181417
row,16,128,4,5084
col,64,1,4,5291
row,64,1,4,4125
col,64,1,4,4792
row,64,1,4,3791
col,64,1,4,3875
row,64,1,4,4083
col,64,2,4,7167
row,64,2,4,4000
col,64,2,4,7125
row,64,2,4,3708
col,64,2,4,6542
row,64,2,4,3792
col,64,4,4,11542
row,64,4,4,4375
col,64,4,4,12542
row,64,4,4,3625
col,64,4,4,12833
row,64,4,4,4041
col,64,8,4,19916
row,64,8,4,4167
col,64,8,4,19459
row,64,8,4,4000
col,64,8,4,21000
row,64,8,4,3916
col,64,16,4,38083
row,64,16,4,3792
col,64,16,4,38916
row,64,16,4,3750
col,64,16,4,37917
row,64,16,4,3584
col,64,32,4,72584
row,64,32,4,3334
col,64,32,4,70667
row,64,32,4,3458
col,64,32,4,68875
row,64,32,4,3125
col,64,64,4,118000
row,64,64,4,7334
col,64,64,4,114583
row,64,64,4,4291
col,64,64,4,117750
row,64,64,4,4292
col,64,128,4,255209
row,64,128,4,13875
col,64,128,4,205583
row,64,128,4,8833
col,64,128,4,229542
row,64,128,4,5417
col,256,1,4,16125
row,256,1,4,14250
col,256,1,4,15292
row,256,1,4,15292
col,256,1,4,15792
row,256,1,4,14250
col,256,2,4,24833
row,256,2,4,14041
col,256,2,4,25083
row,256,2,4,12667
col,256,2,4,25125
row,256,2,4,13250
col,256,4,4,41917
row,256,4,4,15042
col,256,4,4,37959
row,256,4,4,14584
col,256,4,4,41750
row,256,4,4,13875
col,256,8,4,69458
row,256,8,4,15208
col,256,8,4,73209
row,256,8,4,13166
col,256,8,4,70375
row,256,8,4,12917
col,256,16,4,142375
row,256,16,4,13917
col,256,16,4,121334
row,256,16,4,12958
col,256,16,4,133791
row,256,16,4,13583
col,256,32,4,180042
row,256,32,4,11125
col,256,32,4,201083
row,256,32,4,10167
col,256,32,4,201708
row,256,32,4,10541
col,256,64,4,410875
row,256,64,4,45625
col,256,64,4,379250
row,256,64,4,12834
col,256,64,4,395250
row,256,64,4,12833
col,256,128,4,788458
row,256,128,4,51709
col,256,128,4,769167
row,256,128,4,15250
col,256,128,4,723541
row,256,128,4,15125
col,1024,1,4,47250
row,1024,1,4,44583
col,1024,1,4,47917
row,1024,1,4,47042
col,1024,1,4,46125
row,1024,1,4,46417
col,1024,2,4,74750
row,1024,2,4,40333
col,1024,2,4,73917
row,1024,2,4,41583
col,1024,2,4,74417
row,1024,2,4,40708
col,1024,4,4,128750
row,1024,4,4,44291
col,1024,4,4,126791
row,1024,4,4,43458
col,1024,4,4,128166
row,1024,4,4,44125
col,1024,8,4,234542
row,1024,8,4,46291
col,1024,8,4,240958
row,1024,8,4,46833
col,1024,8,4,224667
row,1024,8,4,46458
col,1024,16,4,424250
row,1024,16,4,42167
col,1024,16,4,439750
row,1024,16,4,39667
col,1024,16,4,445167
row,1024,16,4,108667
col,1024,32,4,935667
row,1024,32,4,89084
col,1024,32,4,758583
row,1024,32,4,34834
col,1024,32,4,713625
row,1024,32,4,34875
col,1024,64,4,1383833
row,1024,64,4,72000
col,1024,64,4,1410417
row,1024,64,4,40541
col,1024,64,4,1348792
row,1024,64,4,41667
col,1024,128,4,2952250
row,1024,128,4,110666
col,1024,128,4,2505958
row,1024,128,4,42500
col,1024,128,4,2343792
row,1024,128,4,54333
col,4096,1,4,132750
row,4096,1,4,144916
col,4096,1,4,131750
row,4096,1,4,130167
col,4096,1,4,132417
row,4096,1,4,129625
col,4096,2,4,208500
row,4096,2,4,116584
col,4096,2,4,207459
row,4096,2,4,117000
col,4096,2,4,207792
row,4096,2,4,117708
col,4096,4,4,350584
row,4096,4,4,139792
col,4096,4,4,352792
row,4096,4,4,125625
col,4096,4,4,354250
row,4096,4,4,122333
col,4096,8,4,650625
row,4096,8,4,128500
col,4096,8,4,655333
row,4096,8,4,129041
col,4096,8,4,647333
row,4096,8,4,130625
col,4096,16,4,1246375
row,4096,16,4,114625
col,4096,16,4,1216125
row,4096,16,4,100166
col,4096,16,4,1071000
row,4096,16,4,101250
col,4096,32,4,2084458
row,4096,32,4,103333
col,4096,32,4,2071292
row,4096,32,4,103500
col,4096,32,4,2081458
row,4096,32,4,104083
col,4096,64,4,3934583
row,4096,64,4,231875
col,4096,64,4,3652083
row,4096,64,4,112083
col,4096,64,4,3419000
row,4096,64,4,97375
col,4096,128,4,6725458
row,4096,128,4,301916
col,4096,128,4,5835875
row,4096,128,4,420541
col,4096,128,4,5849625
row,4096,128,4,270792
col,16384,1,4,310208
row,16384,1,4,302750
col,16384,1,4,304709
row,16384,1,4,301208
col,16384,1,4,301542
row,16384,1,4,302042
col,16384,2,4,480792
row,16384,2,4,256625
col,16384,2,4,445917
row,16384,2,4,253041
col,16384,2,4,447291
row,16384,2,4,252000
col,16384,4,4,773958
row,16384,4,4,311958
col,16384,4,4,790625
row,16384,4,4,304417
col,16384,4,4,763667
row,16384,4,4,269833
col,16384,8,4,1421584
row,16384,8,4,320625
col,16384,8,4,1402458
row,16384,8,4,279416
col,16384,8,4,1410209
row,16384,8,4,283500
col,16384,16,4,2692958
row,16384,16,4,298000
col,16384,16,4,2535125
row,16384,16,4,361708
col,16384,16,4,2523500
row,16384,16,4,315541
col,16384,32,4,5007334
row,16384,32,4,487667
col,16384,32,4,4721500
row,16384,32,4,425750
col,16384,32,4,4600875
row,16384,32,4,332042
col,16384,64,4,9171209
row,16384,64,4,729208
col,16384,64,4,9101958
row,16384,64,4,771375
col,16384,64,4,9224875
row,16384,64,4,573416
col,16384,128,4,18592958
row,16384,128,4,1348083
col,16384,128,4,18607666
row,16384,128,4,1488208
col,16384,128,4,18815250
row,16384,128,4,1334333
col,65536,1,4,1090833
row,65536,1,4,1008375
col,65536,1,4,1034875
row,65536,1,4,1048417
col,65536,1,4,1018084
row,65536,1,4,986708
col,65536,2,4,1592375
row,65536,2,4,886167
col,65536,2,4,1587167
row,65536,2,4,899958
col,65536,2,4,1634458
row,65536,2,4,924208
col,65536,4,4,2739792
row,65536,4,4,976500
col,65536,4,4,2722792
row,65536,4,4,957708
col,65536,4,4,2704875
row,65536,4,4,969417
col,65536,8,4,5148291
row,65536,8,4,1096459
col,65536,8,4,5105417
row,65536,8,4,1128709
col,65536,8,4,5058583
row,65536,8,4,1155458
col,65536,16,4,9884916
row,65536,16,4,1194500
col,65536,16,4,9907125
row,65536,16,4,1245167
col,65536,16,4,9647292
row,65536,16,4,1314083
col,65536,32,4,19359375
row,65536,32,4,1846667
col,65536,32,4,19119167
row,65536,32,4,1450500
col,65536,32,4,19099125
row,65536,32,4,1505917
col,65536,64,4,37716916
row,65536,64,4,3037042
col,65536,64,4,37516917
row,65536,64,4,2631542
col,65536,64,4,38134542
row,65536,64,4,2461417
col,65536,128,4,76681375
row,65536,128,4,4780958
col,65536,128,4,74520708
row,65536,128,4,4319417
col,65536,128,4,73762959
row,65536,128,4,4269792
col,262144,1,4,4859958
row,262144,1,4,3951208
col,262144,1,4,3994125
row,262144,1,4,3947083
col,262144,1,4,4009500
row,262144,1,4,4033917
col,262144,2,4,6331209
row,262144,2,4,3700458
col,262144,2,4,6645125
