category,count,columns,col_width,total,reorder,scatter,gather
col,16,1,4,9292,9292,0,0
row,16,1,4,1625,375,833,417
col,16,1,4,375,375,0,0
row,16,1,4,1250,291,625,334
col,16,1,4,417,417,0,0
row,16,1,4,1166,292,541,333
col,16,2,4,708,708,0,0
row,16,2,4,2416,375,1166,875
col,16,2,4,625,625,0,0
row,16,2,4,2208,417,958,833
col,16,2,4,625,625,0,0
row,16,2,4,2000,333,917,750
col,16,4,4,1209,1209,0,0
row,16,4,4,3667,417,1750,1500
col,16,4,4,1209,1209,0,0
row,16,4,4,3375,333,1584,1458
col,16,4,4,1166,1166,0,0
row,16,4,4,3166,291,1500,1375
col,16,8,4,2208,2208,0,0
row,16,8,4,5667,417,2875,2375
col,16,8,4,2250,2250,0,0
row,16,8,4,5459,375,2750,2334
col,16,8,4,2292,2292,0,0
row,16,8,4,5292,333,2667,2292
col,16,16,4,3750,3750,0,0
row,16,16,4,9416,375,4916,4125
col,16,16,4,3875,3875,0,0
row,16,16,4,9042,417,4625,4000
col,16,16,4,3833,3833,0,0
row,16,16,4,8792,375,4500,3917
col,16,32,4,6542,6542,0,0
row,16,32,4,24500,500,17167,6833
col,16,32,4,7208,7208,0,0
row,16,32,4,15416,459,8166,6791
col,16,32,4,7000,7000,0,0
row,16,32,4,15333,375,8125,6833
col,16,64,4,25458,25458,0,0
row,16,64,4,27792,708,14584,12500
col,16,64,4,12959,12959,0,0
row,16,64,4,27542,542,14500,12500
col,16,64,4,12916,12916,0,0
row,16,64,4,27250,458,14292,12500
col,16,128,4,23958,23958,0,0
row,16,128,4,63958,7167,33083,23708
col,16,128,4,24750,24750,0,0
row,16,128,4,61042,792,31875,28375
col,16,128,4,30375,30375,0,0
row,16,128,4,61417,750,31875,28792
col,64,1,4,791,791,0,0
row,64,1,4,2667,709,1125,833
col,64,1,4,750,750,0,0
row,64,1,4,2500,709,1041,750
col,64,1,4,709,709,0,0
row,64,1,4,2334,667,917,750
col,64,2,4,1458,1458,0,0
row,64,2,4,3833,583,1792,1458
col,64,2,4,1417,1417,0,0
row,64,2,4,3667,542,1708,1417
col,64,2,4,1417,1417,0,0
row,64,2,4,3583,541,1667,1375
col,64,4,4,2750,2750,0,0
row,64,4,4,7125,792,3250,3083
col,64,4,4,2666,2666,0,0
row,64,4,4,6750,791,3042,2917
col,64,4,4,2666,2666,0,0
row,64,4,4,6625,709,2958,2958
col,64,8,4,5417,5417,0,0
row,64,8,4,12458,916,5875,5667
col,64,8,4,5333,5333,0,0
row,64,8,4,12083,875,5666,5542
col,64,8,4,5292,5292,0,0
row,64,8,4,112459,29792,65542,17125
col,64,16,4,10334,10334,0,0
row,64,16,4,21791,833,10750,10208
col,64,16,4,10375,10375,0,0
row,64,16,4,21375,791,10500,10084
col,64,16,4,10250,10250,0,0
row,64,16,4,21000,791,10334,9875
col,64,32,4,24083,24083,0,0
row,64,32,4,42750,1042,23250,18458
col,64,32,4,19334,19334,0,0
row,64,32,4,38667,875,19375,18417
col,64,32,4,19292,19292,0,0
row,64,32,4,38334,875,19250,18209
col,64,64,4,41084,41084,0,0
row,64,64,4,80000,4292,40583,35125
col,64,64,4,37292,37292,0,0
row,64,64,4,73208,1417,36625,35166
col,64,64,4,37209,37209,0,0
row,64,64,4,72958,1417,36500,35041
col,64,128,4,79083,79083,0,0
row,64,128,4,124208,8167,59250,56791
col,64,128,4,60500,60500,0,0
row,64,128,4,119000,2167,60167,56666
col,64,128,4,60666,60666,0,0
row,64,128,4,118166,2083,59583,56500
col,256,1,4,1750,1750,0,0
row,256,1,4,5083,1583,1875,1625
col,256,1,4,1709,1709,0,0
row,256,1,4,5000,1541,1875,1584
col,256,1,4,1708,1708,0,0
row,256,1,4,4917,1500,1833,1584
col,256,2,4,3625,3625,0,0
row,256,2,4,8041,1333,3458,3250
col,256,2,4,3500,3500,0,0
row,256,2,4,8042,1292,3500,3250
col,256,2,4,3458,3458,0,0
row,256,2,4,7917,1209,3458,3250
col,256,4,4,6917,6917,0,0
row,256,4,4,14833,1667,6666,6500
col,256,4,4,6917,6917,0,0
row,256,4,4,14666,1625,6583,6458
col,256,4,4,6834,6834,0,0
row,256,4,4,14584,1583,6584,6417
col,256,8,4,13708,13708,0,0
row,256,8,4,27208,1917,12750,12541
col,256,8,4,13542,13542,0,0
row,256,8,4,27084,1875,12709,12500
col,256,8,4,13541,13541,0,0
row,256,8,4,27125,1875,12709,12541
col,256,16,4,26917,26917,0,0
row,256,16,4,51541,1750,25083,24708
col,256,16,4,26625,26625,0,0
row,256,16,4,51250,1666,25000,24584
col,256,16,4,26708,26708,0,0
row,256,16,4,51041,1666,24875,24500
col,256,32,4,53167,53167,0,0
row,256,32,4,115917,17792,49042,49083
col,256,32,4,52792,52792,0,0
row,256,32,4,331666,56625,120708,154333
col,256,32,4,132709,132709,0,0
row,256,32,4,260916,8500,126625,125791
col,256,64,4,255084,255084,0,0
row,256,64,4,548125,15958,281958,250209
col,256,64,4,241417,241417,0,0
row,256,64,4,395000,4250,195542,195208
col,256,64,4,195375,195375,0,0
row,256,64,4,413792,3625,215292,194875
col,256,128,4,403917,403917,0,0
row,256,128,4,831000,29833,410667,390500
col,256,128,4,393583,393583,0,0
row,256,128,4,789375,8333,390625,390417
col,256,128,4,392000,392000,0,0
row,256,128,4,804292,8250,391333,404709
col,1024,1,4,12000,12000,0,0
row,1024,1,4,36833,12208,12667,11958
col,1024,1,4,11958,11958,0,0
row,1024,1,4,36083,11875,12333,11875
col,1024,1,4,12042,12042,0,0
row,1024,1,4,36000,11875,12250,11875
col,1024,2,4,24333,24333,0,0
row,1024,2,4,55625,7166,24375,24084
col,1024,2,4,24083,24083,0,0
row,1024,2,4,58750,7584,25083,26083
col,1024,2,4,24375,24375,0,0
row,1024,2,4,57458,7334,25583,24541
col,1024,4,4,47709,47709,0,0
row,1024,4,4,105917,10042,48125,47750
col,1024,4,4,48209,48209,0,0
row,1024,4,4,105667,10000,47833,47834
col,1024,4,4,47959,47959,0,0
row,1024,4,4,105167,9958,47667,47542
col,1024,8,4,95167,95167,0,0
row,1024,8,4,203375,12000,95625,95750
col,1024,8,4,95083,95083,0,0
row,1024,8,4,202875,11959,95458,95458
col,1024,8,4,95084,95084,0,0
row,1024,8,4,235667,12500,106667,116500
col,1024,16,4,199875,199875,0,0
row,1024,16,4,460459,15709,234500,210250
col,1024,16,4,208000,208000,0,0
row,1024,16,4,391500,6875,189708,194917
col,1024,16,4,189250,189250,0,0
row,1024,16,4,384958,6583,189125,189250
col,1024,32,4,370292,370292,0,0
row,1024,32,4,824041,177500,336000,310541
col,1024,32,4,310959,310959,0,0
row,1024,32,4,640083,6917,319791,313375
col,1024,32,4,310500,310500,0,0
row,1024,32,4,627625,6833,310417,310375
col,1024,64,4,653500,653500,0,0
row,1024,64,4,1315459,46041,649084,620334
col,1024,64,4,641708,641708,0,0
row,1024,64,4,1257292,15333,620084,621875
col,1024,64,4,638916,638916,0,0
row,1024,64,4,1334292,15125,648417,670750
col,1024,128,4,1309125,1309125,0,0
row,1024,128,4,2450209,89833,1299042,1061334
col,1024,128,4,1061834,1061834,0,0
row,1024,128,4,2159833,24167,1064125,1071541
col,1024,128,4,1103458,1103458,0,0
row,1024,128,4,2155583,22958,1071542,1061083
col,4096,1,4,34708,34708,0,0
row,4096,1,4,99500,33042,33375,33083
col,4096,1,4,32917,32917,0,0
row,4096,1,4,99250,32959,33250,33041
col,4096,1,4,33000,33000,0,0
row,4096,1,4,99041,32958,33125,32958
col,4096,2,4,66000,66000,0,0
row,4096,2,4,153167,19500,67500,66167
col,4096,2,4,65958,65958,0,0
row,4096,2,4,151916,19417,66458,66041
col,4096,2,4,66209,66209,0,0
row,4096,2,4,151625,19333,66125,66167
col,4096,4,4,125250,125250,0,0
row,4096,4,4,254500,24333,115333,114834
col,4096,4,4,114500,114500,0,0
row,4096,4,4,254083,24084,114958,115041
col,4096,4,4,123417,123417,0,0
row,4096,4,4,253833,24000,114833,115000
col,4096,8,4,229750,229750,0,0
row,4096,8,4,496333,28875,229375,238083
col,4096,8,4,255417,255417,0,0
row,4096,8,4,583917,48292,305333,230292
col,4096,8,4,289834,289834,0,0
row,4096,8,4,487917,28833,229459,229625
col,4096,16,4,514958,514958,0,0
row,4096,16,4,1078541,59541,560875,458125
col,4096,16,4,456958,456958,0,0
row,4096,16,4,935708,20000,457792,457916
col,4096,16,4,457584,457584,0,0
row,4096,16,4,937917,19750,460334,457833
col,4096,32,4,967000,967000,0,0
row,4096,32,4,1801041,88792,903791,808458
col,4096,32,4,817167,817167,0,0
row,4096,32,4,1665208,20250,836291,808667
col,4096,32,4,820583,820583,0,0
row,4096,32,4,1772250,68833,890417,813000
col,4096,64,4,1846708,1846708,0,0
row,4096,64,4,3244542,125084,1648000,1471458
col,4096,64,4,1449875,1449875,0,0
row,4096,64,4,3014750,94375,1457834,1462541
